rank,family,model_name,params_count,input_size,auc,f1,acc,precision,recall,fp,fn,latency_ms_mean,latency_ms_p95,tuning_walltime_s,training_walltime_s,hardware
1,cnn_attention,cnn_attention,156569.0,224,0.9958501006036217,0.8187134502923976,0.9582772543741588,0.7,0.9859154929577465,30,1,6.6236010000284296,6.998610001755878,34696.8752157,0.0,CPU:/physical_device:CPU:0
2,cnn,cnn,3729489.0,224,0.9935446009389671,0.9054054054054054,0.9811574697173621,0.8701298701298701,0.9436619718309859,10,4,15.023668000001749,18.844694999989997,1.9253056999999671,0.0,CPU:/physical_device:CPU:0
3,cnn_focus_hybrid,cnn_focus_hybrid,102161.0,224,0.97761569416499,0.8289473684210527,0.9650067294751009,0.7777777777777778,0.8873239436619719,18,8,,,205622.5734266,0.0,CPU:/physical_device:CPU:0
4,transfer,transfer:MobileNet,3360193.0,224,0.9748490945674044,0.72,0.9340511440107672,0.6057692307692307,0.8873239436619719,41,8,9.370590001926757,9.805420004704501,1.4084962999913841,0.0,CPU:/physical_device:CPU:0
5,hybrid_vit,hybrid_vit,2390145.0,224,0.9621688464118041,0.7088607594936709,0.9380888290713324,0.6436781609195402,0.7887323943661971,31,15,48.744032999675255,111.01107498834592,115046.2538004,0.0,CPU:/physical_device:CPU:0
6,focus_dnn,focus_dnn,33793.0,224,0.9079896042924213,0.41414141414141414,0.8438761776581427,0.3228346456692913,0.5774647887323944,86,30,,,10672.339896500001,0.0,CPU:/physical_device:CPU:0
7,classical_ml,classical_ml:gradient_boosting,,224,0.8568494299128102,0.6218487394957983,0.9394347240915208,0.7708333333333334,0.5211267605633803,11,34,,,,,CPU:/physical_device:CPU:0
8,vit,vit,462721.0,224,0.7398977196512408,0.3968253968253968,0.8977119784656796,0.45454545454545453,0.352112676056338,30,46,42.262785000001486,48.68990499999768,0.12988910000001397,0.0,CPU:/physical_device:CPU:0
