seed,split,mode,threshold,coverage,risk,auc,f1,temperature
55,test,tau,0.5,1.0,0.06620689655172418,0.9513413304252999,0.6883116883116883,1.134755268347334
55,test,tau,0.5257894736842105,0.9875862068965517,0.06145251396648044,0.9537441480187263,0.7027027027027026,1.134755268347334
55,test,tau,0.5515789473684211,0.9848275862068966,0.05882352941176472,0.9543646781260532,0.7123287671232876,1.134755268347334
55,test,tau,0.5773684210526315,0.9806896551724138,0.057665260196905765,0.9548531698838166,0.7172413793103448,1.134755268347334
55,test,tau,0.6031578947368421,0.9668965517241379,0.0542082738944365,0.9574838740053674,0.7285714285714286,1.134755268347334
55,test,tau,0.6289473684210526,0.9572413793103448,0.053314121037464024,0.9579402812366362,0.717557251908397,1.134755268347334
55,test,tau,0.6547368421052632,0.9475862068965517,0.04657933042212514,0.9597677419354838,0.7460317460317459,1.134755268347334
55,test,tau,0.6805263157894736,0.9365517241379311,0.04123711340206182,0.9600199900049975,0.7627118644067795,1.134755268347334
55,test,tau,0.7063157894736842,0.926896551724138,0.03720238095238093,0.9608940166975881,0.7787610619469025,1.134755268347334
55,test,tau,0.7321052631578947,0.9227586206896552,0.03736920777279518,0.9611489487710986,0.7747747747747747,1.134755268347334
55,test,tau,0.7578947368421052,0.9186206896551724,0.037537537537537524,0.9614197530864197,0.7706422018348624,1.134755268347334
55,test,tau,0.7836842105263158,0.8993103448275862,0.02914110429447858,0.9620942904524995,0.8118811881188118,1.134755268347334
55,test,tau,0.8094736842105263,0.8855172413793103,0.028037383177570097,0.9615112600037223,0.8085106382978723,1.134755268347334
55,test,tau,0.8352631578947368,0.8689655172413793,0.023809523809523836,0.9622439681470624,0.8314606741573034,1.134755268347334
55,test,tau,0.8610526315789473,0.8482758620689655,0.02276422764227637,0.9642233856893542,0.8372093023255814,1.134755268347334
55,test,tau,0.8868421052631579,0.8137931034482758,0.01864406779661021,0.9646156101852305,0.8571428571428571,1.134755268347334
55,test,tau,0.9126315789473685,0.7724137931034483,0.017857142857142905,0.9649621212121213,0.8484848484848485,1.134755268347334
55,test,tau,0.9384210526315789,0.7310344827586207,0.016981132075471694,0.9618741765480896,0.816326530612245,1.134755268347334
55,test,tau,0.9642105263157894,0.64,0.010775862068965525,0.9606584821428571,0.8484848484848485,1.134755268347334
55,test,tau,0.99,0.45241379310344826,0.0060975609756097615,0.9675122385402759,0.8571428571428571,1.134755268347334
55,test,delta,0.0,1.0,0.06620689655172418,0.9513413304252999,0.6883116883116883,1.134755268347334
55,test,delta,0.025789473684210525,0.9875862068965517,0.06145251396648044,0.9537441480187263,0.7027027027027026,1.134755268347334
55,test,delta,0.05157894736842105,0.9848275862068966,0.05882352941176472,0.9543646781260532,0.7123287671232876,1.134755268347334
55,test,delta,0.07736842105263157,0.9806896551724138,0.057665260196905765,0.9548531698838166,0.7172413793103448,1.134755268347334
55,test,delta,0.1031578947368421,0.9668965517241379,0.0542082738944365,0.9574838740053674,0.7285714285714286,1.134755268347334
55,test,delta,0.12894736842105262,0.9572413793103448,0.053314121037464024,0.9579402812366362,0.717557251908397,1.134755268347334
55,test,delta,0.15473684210526314,0.9475862068965517,0.04657933042212514,0.9597677419354838,0.7460317460317459,1.134755268347334
55,test,delta,0.18052631578947367,0.9365517241379311,0.04123711340206182,0.9600199900049975,0.7627118644067795,1.134755268347334
55,test,delta,0.2063157894736842,0.926896551724138,0.03720238095238093,0.9608940166975881,0.7787610619469025,1.134755268347334
55,test,delta,0.23210526315789473,0.9227586206896552,0.03736920777279518,0.9611489487710986,0.7747747747747747,1.134755268347334
55,test,delta,0.25789473684210523,0.9186206896551724,0.037537537537537524,0.9614197530864197,0.7706422018348624,1.134755268347334
55,test,delta,0.28368421052631576,0.8993103448275862,0.02914110429447858,0.9620942904524995,0.8118811881188118,1.134755268347334
55,test,delta,0.3094736842105263,0.8855172413793103,0.028037383177570097,0.9615112600037223,0.8085106382978723,1.134755268347334
55,test,delta,0.3352631578947368,0.8689655172413793,0.023809523809523836,0.9622439681470624,0.8314606741573034,1.134755268347334
55,test,delta,0.36105263157894735,0.8482758620689655,0.02276422764227637,0.9642233856893542,0.8372093023255814,1.134755268347334
55,test,delta,0.3868421052631579,0.8137931034482758,0.01864406779661021,0.9646156101852305,0.8571428571428571,1.134755268347334
55,test,delta,0.4126315789473684,0.7724137931034483,0.017857142857142905,0.9649621212121213,0.8484848484848485,1.134755268347334
55,test,delta,0.43842105263157893,0.7310344827586207,0.016981132075471694,0.9618741765480896,0.816326530612245,1.134755268347334
55,test,delta,0.46421052631578946,0.64,0.010775862068965525,0.9606584821428571,0.8484848484848485,1.134755268347334
55,test,delta,0.49,0.45241379310344826,0.0060975609756097615,0.9675122385402759,0.8571428571428571,1.134755268347334
55,test,tau_summary,0.9,0.8,0.017241379310344862,0.9644560943643512,0.8611111111111112,1.134755268347334
55,test,delta_summary,0.1,0.9696551724137931,0.05547652916073964,0.9568666103445038,0.7234042553191488,1.134755268347334
