seed,split,mode,threshold,coverage,risk,auc,f1,temperature
55,test,tau,0.5,1.0,0.09793103448275864,0.9603271537622683,0.6536585365853658,0.710415416266961
55,test,tau,0.5257894736842105,0.9903448275862069,0.0919220055710307,0.9603615520282187,0.6699999999999999,0.710415416266961
55,test,tau,0.5515789473684211,0.9793103448275862,0.08873239436619718,0.9620441634597765,0.6735751295336788,0.710415416266961
55,test,tau,0.5773684210526315,0.9682758620689655,0.08689458689458684,0.9621219150120618,0.6806282722513088,0.710415416266961
55,test,tau,0.6031578947368421,0.9517241379310345,0.08115942028985512,0.9645292307692308,0.6888888888888889,0.710415416266961
55,test,tau,0.6289473684210526,0.92,0.06296851574212892,0.966099022390413,0.7407407407407407,0.710415416266961
55,test,tau,0.6547368421052632,0.9103448275862069,0.05909090909090908,0.9662598707824837,0.7547169811320755,0.710415416266961
55,test,tau,0.6805263157894736,0.896551724137931,0.055384615384615365,0.9673522781040385,0.763157894736842,0.710415416266961
55,test,tau,0.7063157894736842,0.8758620689655172,0.04566929133858266,0.9680579710144928,0.7972027972027973,0.710415416266961
55,test,tau,0.7321052631578947,0.8606896551724138,0.04166666666666663,0.968531573421329,0.8115942028985508,0.710415416266961
55,test,tau,0.7578947368421052,0.84,0.03612479474548436,0.9692028985507246,0.8307692307692308,0.710415416266961
55,test,tau,0.7836842105263158,0.8248275862068966,0.0317725752508361,0.9697304537083542,0.8455284552845528,0.710415416266961
55,test,tau,0.8094736842105263,0.8096551724137931,0.028960817717206155,0.9700727863755212,0.8547008547008547,0.710415416266961
55,test,tau,0.8352631578947368,0.7724137931034483,0.021428571428571463,0.9710588235294118,0.8867924528301886,0.710415416266961
55,test,tau,0.8610526315789473,0.7531034482758621,0.020146520146520186,0.9719354838709677,0.8952380952380952,0.710415416266961
55,test,tau,0.8868421052631579,0.7282758620689656,0.02083333333333337,0.9719465993144507,0.8865979381443299,0.710415416266961
55,test,tau,0.9126315789473685,0.7006896551724138,0.017716535433070835,0.9723430857714428,0.898876404494382,0.710415416266961
55,test,tau,0.9384210526315789,0.6648275862068965,0.010373443983402453,0.9734162895927603,0.9382716049382716,0.710415416266961
55,test,tau,0.9642105263157894,0.5820689655172414,0.007109004739336511,0.9694727891156463,0.9491525423728815,0.710415416266961
55,test,tau,0.99,0.44413793103448274,0.0031055900621117516,0.9689074170574952,0.972972972972973,0.710415416266961
55,test,delta,0.0,1.0,0.09793103448275864,0.9603271537622683,0.6536585365853658,0.710415416266961
55,test,delta,0.025789473684210525,0.9903448275862069,0.0919220055710307,0.9603615520282187,0.6699999999999999,0.710415416266961
55,test,delta,0.05157894736842105,0.9793103448275862,0.08873239436619718,0.9620441634597765,0.6735751295336788,0.710415416266961
55,test,delta,0.07736842105263157,0.9682758620689655,0.08689458689458684,0.9621219150120618,0.6806282722513088,0.710415416266961
55,test,delta,0.1031578947368421,0.9517241379310345,0.08115942028985512,0.9645292307692308,0.6888888888888889,0.710415416266961
55,test,delta,0.12894736842105262,0.92,0.06296851574212892,0.966099022390413,0.7407407407407407,0.710415416266961
55,test,delta,0.15473684210526314,0.9103448275862069,0.05909090909090908,0.9662598707824837,0.7547169811320755,0.710415416266961
55,test,delta,0.18052631578947367,0.896551724137931,0.055384615384615365,0.9673522781040385,0.763157894736842,0.710415416266961
55,test,delta,0.2063157894736842,0.8758620689655172,0.04566929133858266,0.9680579710144928,0.7972027972027973,0.710415416266961
55,test,delta,0.23210526315789473,0.8606896551724138,0.04166666666666663,0.968531573421329,0.8115942028985508,0.710415416266961
55,test,delta,0.25789473684210523,0.84,0.03612479474548436,0.9692028985507246,0.8307692307692308,0.710415416266961
55,test,delta,0.28368421052631576,0.8248275862068966,0.0317725752508361,0.9697304537083542,0.8455284552845528,0.710415416266961
55,test,delta,0.3094736842105263,0.8096551724137931,0.028960817717206155,0.9700727863755212,0.8547008547008547,0.710415416266961
55,test,delta,0.3352631578947368,0.7724137931034483,0.021428571428571463,0.9710588235294118,0.8867924528301886,0.710415416266961
55,test,delta,0.36105263157894735,0.7531034482758621,0.020146520146520186,0.9719354838709677,0.8952380952380952,0.710415416266961
55,test,delta,0.3868421052631579,0.7282758620689656,0.02083333333333337,0.9719465993144507,0.8865979381443299,0.710415416266961
55,test,delta,0.4126315789473684,0.7006896551724138,0.017716535433070835,0.9723430857714428,0.898876404494382,0.710415416266961
55,test,delta,0.43842105263157893,0.6648275862068965,0.010373443983402453,0.9734162895927603,0.9382716049382716,0.710415416266961
55,test,delta,0.46421052631578946,0.5820689655172414,0.007109004739336511,0.9694727891156463,0.9491525423728815,0.710415416266961
55,test,delta,0.49,0.44413793103448274,0.0031055900621117516,0.9689074170574952,0.972972972972973,0.710415416266961
55,test,tau_summary,0.9,0.7089655172413794,0.017509727626459193,0.9726605069888651,0.9032258064516129,0.710415416266961
55,test,delta_summary,0.1,0.953103448275862,0.08104196816208398,0.9637818181818182,0.6923076923076923,0.710415416266961
