family,seed,dataset,split,auc,f1,acc,precision,recall,fp,fn,ece,brier,params_count,latency_ms
cnn,55,all,test,0.9029007633587788,0.1904761904761904,0.9062068965517242,0.5714285714285714,0.1142857142857142,6.0,62.0,0.0863360875303462,0.0861950786548254,3729489,100.38188027585296
cnn,55,TBSI,test,1.0,0.5714285714285715,0.925,1.0,0.4,0.0,3.0,0.0715258350872492,0.0548409296006006,3729489,100.38188027585296
cnn,55,bma,test,0.9527272727272728,0.4000000000000001,0.9,0.4,0.4,3.0,3.0,0.0798973748038381,0.0701531999544586,3729489,100.38188027585296
cnn,55,pbs_imgs,test,0.8668261562998405,0.3529411764705882,0.912,0.5,0.2727272727272727,3.0,8.0,0.0705028431369435,0.0699031790972843,3729489,100.38188027585296
cnn,55,tbf_imgs,test,0.955480733258511,0.0,0.9166666666666666,0.0,0.0,0.0,27.0,0.0832954066614854,0.083257804402861,3729489,100.38188027585296
cnn,55,wbc,test,0.9997048406139316,0.0869565217391304,0.8806818181818182,1.0,0.0454545454545454,0.0,21.0,0.1195089616549791,0.115768050169144,3729489,100.38188027585296
cnn_attention,55,all,test,0.9012213740458016,0.0,0.903448275862069,0.0,0.0,0.0,70.0,0.0925873602755176,0.0912239887332729,156569,91.2912344827381
cnn_attention,55,TBSI,test,1.0,0.0,0.875,0.0,0.0,0.0,5.0,0.1021125647034296,0.0949776721726063,156569,91.2912344827381
cnn_attention,55,bma,test,0.8181818181818182,0.0,0.9166666666666666,0.0,0.0,0.0,5.0,0.0806869547205375,0.0805866041079378,156569,91.2912344827381
cnn_attention,55,pbs_imgs,test,0.7830940988835725,0.0,0.912,0.0,0.0,0.0,11.0,0.0839863272636721,0.0866283669840757,156569,91.2912344827381
cnn_attention,55,tbf_imgs,test,0.9284200024940764,0.0,0.9166666666666666,0.0,0.0,0.0,27.0,0.0795021522639251,0.0764566966697557,156569,91.2912344827381
cnn_attention,55,wbc,test,0.9946871310507674,0.0,0.875,0.0,0.0,0.0,22.0,0.1246768641301708,0.1244464380922275,156569,91.2912344827381
cnn_focus_hybrid,55,all,test,0.8562922573609597,0.4785276073619631,0.8827586206896552,0.4193548387096774,0.5571428571428572,54.0,31.0,0.2364947957918048,0.1346696979786509,101825,83.53567379314035
