family,seed,dataset,split,auc,f1,acc,precision,recall,fp,fn,ece,brier,params_count,latency_ms
cnn_focus_hybrid,55,TBSI,test,1.0,0.3225806451612903,0.475,0.1923076923076923,1.0,21.0,0.0,0.4387924805283547,0.2361638985178306,101825,83.53567379314035
cnn_focus_hybrid,55,bma,test,0.8690909090909091,0.6153846153846154,0.9166666666666666,0.5,0.8,4.0,1.0,0.2851632179692387,0.1505232653132347,101825,83.53567379314035
cnn_focus_hybrid,55,pbs_imgs,test,0.7464114832535885,0.3720930232558139,0.784,0.25,0.7272727272727273,24.0,3.0,0.2475345096588134,0.1542050281479613,101825,83.53567379314035
cnn_focus_hybrid,55,tbf_imgs,test,0.7374984412021449,0.0,0.9166666666666666,0.0,0.0,0.0,27.0,0.3056988727163385,0.1680327764659902,101825,83.53567379314035
cnn_focus_hybrid,55,wbc,test,0.9846517119244392,0.8979591836734693,0.9715909090909092,0.8148148148148148,1.0,5.0,0.0,0.0569861043318682,0.0309052902360146,101825,83.53567379314035
transfer,55,all,test,0.9603271537622684,0.6536585365853658,0.9020689655172414,0.4962962962962963,0.9571428571428572,68.0,3.0,0.1193173583322365,0.0671774905153725,3360193,85.51637724138283
transfer,55,TBSI,test,1.0,0.8333333333333333,0.95,0.7142857142857143,1.0,2.0,0.0,0.1290791114093736,0.0389810583117027,3360193,85.51637724138283
transfer,55,bma,test,0.9745454545454544,0.5555555555555556,0.8666666666666667,0.3846153846153846,1.0,8.0,0.0,0.1668772257398814,0.0863066425360567,3360193,85.51637724138283
transfer,55,pbs_imgs,test,0.8054226475279107,0.5161290322580645,0.88,0.4,0.7272727272727273,12.0,3.0,0.0890761254914105,0.0849856735271678,3360193,85.51637724138283
transfer,55,tbf_imgs,test,0.9731886768923806,0.5934065934065934,0.8858024691358025,0.421875,1.0,37.0,0.0,0.1441786448887325,0.0761861187949331,3360193,85.51637724138283
transfer,55,wbc,test,0.9982290436835892,0.8301886792452831,0.9488636363636364,0.7096774193548387,1.0,9.0,0.0,0.0821679939201038,0.0378325457872685,3360193,85.51637724138283
hybrid_vit,55,all,test,0.9513413304253,0.6883116883116883,0.9337931034482758,0.6309523809523809,0.7571428571428571,31.0,17.0,0.0378842088190641,0.0492892502601727,2390145,86.82143075861326
hybrid_vit,55,TBSI,test,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0287619660288328,0.0022555327985603,2390145,86.82143075861326
hybrid_vit,55,bma,test,0.9672727272727272,0.6,0.9333333333333332,0.6,0.6,2.0,2.0,0.0668014361222352,0.0499518857843539,2390145,86.82143075861326
hybrid_vit,55,pbs_imgs,test,0.835725677830941,0.5,0.888,0.4117647058823529,0.6363636363636364,10.0,4.0,0.09425918766018,0.0963446016883665,2390145,86.82143075861326
hybrid_vit,55,tbf_imgs,test,0.9359022321985284,0.5862068965517241,0.925925925925926,0.5483870967741935,0.6296296296296297,14.0,10.0,0.0496170077716175,0.054096778941665,2390145,86.82143075861326
hybrid_vit,55,wbc,test,0.9964580873671782,0.875,0.9659090909090908,0.8076923076923077,0.9545454545454546,5.0,1.0,0.0206566119830892,0.0174826158606607,2390145,86.82143075861326
focus_dnn,55,all,test,0.8764885496183206,0.368663594470046,0.8110344827586207,0.272108843537415,0.5714285714285714,107.0,30.0,0.2299032760283042,0.1490534340337388,33793,83.51581379309586
focus_dnn,55,TBSI,test,1.0,0.2272727272727272,0.15,0.1282051282051282,1.0,34.0,0.0,0.5563887730240822,0.3369697319897574,33793,83.51581379309586
focus_dnn,55,bma,test,0.7818181818181819,0.303030303030303,0.6166666666666667,0.1785714285714285,1.0,23.0,0.0,0.3242437490417311,0.2431524825358991,33793,83.51581379309586
focus_dnn,55,pbs_imgs,test,0.7783094098883572,0.2769230769230769,0.624,0.1666666666666666,0.8181818181818182,45.0,2.0,0.299712100110948,0.2279695007666889,33793,83.51581379309586
focus_dnn,55,tbf_imgs,test,0.9241800723282204,0.0,0.9166666666666666,0.0,0.0,0.0,27.0,0.2682991167645395,0.1460982746827313,33793,83.51581379309586
focus_dnn,55,wbc,test,0.994391971664699,0.875,0.9659090909090908,0.8076923076923077,0.9545454545454546,5.0,1.0,0.0474610815396193,0.0236578002822461,33793,83.51581379309586
vit,55,all,test,0.7971428571428572,0.3762376237623762,0.8262068965517242,0.2878787878787879,0.5428571428571428,94.0,32.0,0.1407378838494107,0.1299423328336959,462721,126.1377182068175
vit,55,TBSI,test,0.6685714285714286,0.1428571428571428,0.7,0.1111111111111111,0.2,8.0,4.0,0.2572624860564246,0.1713506995471073,462721,126.1377182068175
vit,55,bma,test,0.8618181818181818,0.3333333333333333,0.9333333333333332,1.0,0.2,0.0,4.0,0.0379373574221972,0.0425420045044053,462721,126.1377182068175
vit,55,pbs_imgs,test,0.5645933014354068,0.16,0.832,0.1428571428571428,0.1818181818181818,12.0,9.0,0.1848411950806621,0.1503914234219457,462721,126.1377182068175
vit,55,tbf_imgs,test,0.6171592467888765,0.2452830188679245,0.7530864197530864,0.1645569620253164,0.4814814814814814,66.0,14.0,0.2041356163717415,0.1788890040628959,462721,126.1377182068175
vit,55,wbc,test,0.9817001180637543,0.823529411764706,0.9488636363636364,0.7241379310344828,0.9545454545454546,8.0,1.0,0.0488409364511839,0.0456970330009059,462721,126.1377182068175
