dataset,model_code_name,model_display_name,n_samples,n_focused,n_unfocused,TP,TN,FP,FN,predicted_positive_count,predicted_negative_count,mean_probability_focused,min_probability_focused,max_probability_focused,AUC,flipped_AUC,F1,accuracy,balanced_accuracy,recall,specificity,MCC,majority_class_baseline
BMA,classical_ml,Classical ML,60,5,55,3,53,2,2,5,55,0.09623662231517846,7.285219628257388e-05,0.9700341855904882,0.9854545454545455,,0.6,0.9333333333333333,0.7818181818181817,0.6,0.9636363636363636,0.5636363636363636,0.9166666666666666
PBS,classical_ml,Classical ML,131,11,120,8,113,7,3,15,116,0.12873624559326877,6.048207369718699e-05,0.8039104319301522,0.9356060606060607,,0.6153846153846153,0.9236641221374046,0.834469696969697,0.7272727272727273,0.9416666666666667,0.5826384127637525,0.916030534351145
TBF,classical_ml,Classical ML,336,28,308,0,308,0,28,0,336,0.4587920282592404,0.4587920282592404,0.4587920282592404,0.5,,0.0,0.9166666666666666,0.5,0.0,1.0,0.0,0.9166666666666666
TBSI,classical_ml,Classical ML,40,5,35,5,34,1,0,6,34,0.1445512807373606,0.0017551226473124,0.9765086726875574,1.0,,0.9090909090909091,0.975,0.9857142857142858,1.0,0.9714285714285714,0.8997354108424374,0.875
WBC,classical_ml,Classical ML,176,22,154,21,153,1,1,22,154,0.12713556561545356,0.0005428371978212,0.9995486304208696,0.9873081463990555,,0.9545454545454546,0.9886363636363636,0.974025974025974,0.9545454545454546,0.9935064935064936,0.948051948051948,0.875
BMA,cnn,CNN,60,5,55,3,55,0,2,3,57,0.06927696924528086,2.4601313270977695e-05,0.9774340391159058,0.9927272727272727,,0.7499999999999999,0.9666666666666667,0.8,0.6,1.0,0.760885910252682,0.9166666666666666
PBS,cnn,CNN,131,11,120,10,115,5,1,15,116,0.12203269932891135,1.3258772924018558e-05,0.9797216653823853,0.9772727272727273,,0.7692307692307692,0.9541984732824428,0.9337121212121212,0.9090909090909091,0.9583333333333334,0.7555164016019215,0.916030534351145
TBF,cnn,CNN,336,28,308,27,304,4,1,31,305,0.08815224956943878,5.630885880236747e-06,0.9983088970184326,0.9926948051948051,,0.9152542372881356,0.9851190476190477,0.9756493506493507,0.9642857142857143,0.987012987012987,0.9085325914026875,0.9166666666666666
TBSI,cnn,CNN,40,5,35,5,35,0,0,5,35,0.12775180447133608,1.0583231414784676e-05,0.9976035952568054,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.875
WBC,cnn,CNN,176,22,154,22,153,1,0,23,153,0.12961794824506595,2.8221210257584065e-08,0.9999859929084778,1.0,,0.9777777777777777,0.9943181818181818,0.9967532467532467,1.0,0.9935064935064936,0.9748387348716767,0.875
BMA,cnn_attention,Attention-CNN,60,5,55,5,49,6,0,11,49,0.19663900313122815,0.0024100500158965,0.9804894328117372,0.989090909090909,,0.625,0.9,0.9454545454545454,1.0,0.8909090909090909,0.6363636363636364,0.9166666666666666
PBS,cnn_attention,Attention-CNN,131,11,120,11,104,16,0,27,104,0.2409630422675911,0.0007357902359217,0.9789807796478271,0.9856060606060606,,0.5789473684210525,0.8778625954198473,0.9333333333333333,1.0,0.8666666666666667,0.5942107536498195,0.916030534351145
TBF,cnn_attention,Attention-CNN,336,28,308,27,302,6,1,33,303,0.12297343733371233,0.0009205666719935,0.9998989701271056,0.9952458256029685,,0.8852459016393442,0.9791666666666666,0.9724025974025974,0.9642857142857143,0.9805194805194806,0.8774418859124449,0.9166666666666666
TBSI,cnn_attention,Attention-CNN,40,5,35,5,34,1,0,6,34,0.1714585445995908,0.0005167020717635,0.999828279018402,1.0,,0.9090909090909091,0.975,0.9857142857142858,1.0,0.9714285714285714,0.8997354108424374,0.875
WBC,cnn_attention,Attention-CNN,176,22,154,22,153,1,0,23,153,0.15528796915463708,1.099493329093093e-05,0.9939702153205872,1.0,,0.9777777777777777,0.9943181818181818,0.9967532467532467,1.0,0.9935064935064936,0.9748387348716767,0.875
BMA,cnn_focus_hybrid,CNN--focus hybrid,60,5,55,4,52,3,1,7,53,0.14588427618922042,0.0003585956001188,0.9950722455978394,0.989090909090909,,0.6666666666666666,0.9333333333333333,0.8727272727272728,0.8,0.9454545454545454,0.6418012510669561,0.9166666666666666
PBS,cnn_focus_hybrid,CNN--focus hybrid,131,11,120,10,111,9,1,19,112,0.18294847303404263,0.0050537916831672,0.9725217819213868,0.9734848484848485,,0.6666666666666666,0.9236641221374046,0.9170454545454545,0.9090909090909091,0.925,0.656923111978308,0.916030534351145
TBF,cnn_focus_hybrid,CNN--focus hybrid,336,28,308,26,302,6,2,32,304,0.12280445630035716,0.0021826135925948,0.9800519943237304,0.9548933209647494,,0.8666666666666666,0.9761904761904762,0.9545454545454546,0.9285714285714286,0.9805194805194806,0.8559529790779075,0.9166666666666666
TBSI,cnn_focus_hybrid,CNN--focus hybrid,40,5,35,4,35,0,1,4,36,0.1475804490683003,9.555768338032068e-05,0.9951118230819702,1.0,,0.888888888888889,0.975,0.9,0.8,1.0,0.8819171036881969,0.875
WBC,cnn_focus_hybrid,CNN--focus hybrid,176,22,154,19,154,0,3,19,157,0.1174730743103357,1.918466750794323e-06,0.9710922241210938,0.9988193624557261,,0.9268292682926829,0.9829545454545454,0.9318181818181819,0.8636363636363636,1.0,0.9203986951108653,0.875
BMA,focus_dnn,Focus-DNN,60,5,55,5,29,26,0,31,29,0.4652525349830588,0.046882402151823,0.8280653357505798,0.8327272727272728,,0.27777777777777773,0.5666666666666667,0.7636363636363637,1.0,0.5272727272727272,0.2916230242449912,0.9166666666666666
PBS,focus_dnn,Focus-DNN,131,11,120,10,97,23,1,33,98,0.3000990083825042,0.0482787862420082,0.8452499508857727,0.8856060606060606,,0.45454545454545453,0.816793893129771,0.8587121212121211,0.9090909090909091,0.8083333333333333,0.4583455356476842,0.916030534351145
TBF,focus_dnn,Focus-DNN,336,28,308,0,308,0,28,0,336,0.4083255299677451,0.3871865272521972,0.428867369890213,0.9394712430426716,,0.0,0.9166666666666666,0.5,0.0,1.0,0.0,0.9166666666666666
TBSI,focus_dnn,Focus-DNN,40,5,35,5,0,35,0,40,0,0.6307901173830033,0.5419069528579712,0.9101911187171936,0.9771428571428572,,0.2222222222222222,0.125,0.5,1.0,0.0,0.0,0.875
WBC,focus_dnn,Focus-DNN,176,22,154,21,152,2,1,23,153,0.1855517256242985,0.0433092936873436,0.8521445989608765,0.9979338842975207,,0.9333333333333332,0.9829545454545454,0.9707792207792207,0.9545454545454546,0.987012987012987,0.9238667748783864,0.875
BMA,hybrid_vit,Hybrid ViT,60,5,55,3,53,2,2,5,55,0.09932976648354572,7.890113920439035e-05,0.99973064661026,0.9527272727272728,,0.6,0.9333333333333333,0.7818181818181817,0.6,0.9636363636363636,0.5636363636363636,0.9166666666666666
PBS,hybrid_vit,Hybrid ViT,131,11,120,10,114,6,1,16,115,0.12466295584020974,7.938256021589041e-05,0.9997150897979736,0.9098484848484848,,0.7407407407407406,0.9465648854961832,0.9295454545454545,0.9090909090909091,0.95,0.7276410258160221,0.916030534351145
TBF,hybrid_vit,Hybrid ViT,336,28,308,17,287,21,11,38,298,0.13250842482844266,3.7360561691457406e-05,0.9966859817504884,0.9294990723562153,,0.5151515151515151,0.9047619047619048,0.7694805194805194,0.6071428571428571,0.9318181818181818,0.47033989200755627,0.9166666666666666
TBSI,hybrid_vit,Hybrid ViT,40,5,35,5,34,1,0,6,34,0.14643759014743407,7.633863424416631e-05,0.9995836019515992,1.0,,0.9090909090909091,0.975,0.9857142857142858,1.0,0.9714285714285714,0.8997354108424374,0.875
WBC,hybrid_vit,Hybrid ViT,176,22,154,21,153,1,1,22,154,0.12503748181792285,3.007471968885511e-05,0.9998835921287536,0.9988193624557261,,0.9545454545454546,0.9886363636363636,0.974025974025974,0.9545454545454546,0.9935064935064936,0.948051948051948,0.875
BMA,threshold_baselines,Threshold baselines,60,5,55,5,22,33,0,38,22,0.6739346108088891,0.0,1.0,0.7909090909090909,,0.23255813953488372,0.45,0.7,1.0,0.4,0.22941573387056177,0.9166666666666666
PBS,threshold_baselines,Threshold baselines,131,11,120,10,74,46,1,56,75,0.42762029967235243,0.0,1.0,0.8416666666666667,,0.2985074626865672,0.6412213740458015,0.7628787878787879,0.9090909090909091,0.6166666666666667,0.2947459590480935,0.916030534351145
TBF,threshold_baselines,Threshold baselines,336,28,308,0,308,0,28,0,336,0.0,0.0,0.0,0.5,,0.0,0.9166666666666666,0.5,0.0,1.0,0.0,0.9166666666666666
TBSI,threshold_baselines,Threshold baselines,40,5,35,4,35,0,1,4,36,0.08866684660315513,0.0,1.0,0.8971428571428572,,0.888888888888889,0.975,0.9,0.8,1.0,0.8819171036881969,0.875
WBC,threshold_baselines,Threshold baselines,176,22,154,22,139,15,0,37,139,0.29467457228086213,0.0,1.0,0.9961629279811098,,0.7457627118644068,0.9147727272727273,0.9512987012987013,1.0,0.9025974025974026,0.732584149896472,0.875
BMA,transfer,Transfer learning,60,5,55,3,54,1,2,4,56,0.08369255539631311,0.0005574997630901,0.9535395503044128,0.9418181818181819,,0.6666666666666665,0.95,0.7909090909090909,0.6,0.9818181818181818,0.6446583712203042,0.9166666666666666
PBS,transfer,Transfer learning,131,11,120,8,113,7,3,15,116,0.1311597755580486,0.0032201004214584,0.9774174094200134,0.9651515151515152,,0.6153846153846153,0.9236641221374046,0.834469696969697,0.7272727272727273,0.9416666666666667,0.5826384127637525,0.916030534351145
TBF,transfer,Transfer learning,336,28,308,26,277,31,2,57,279,0.19484416958688858,0.0001019307965179,0.9878461360931396,0.9669526901669758,,0.611764705882353,0.9017857142857143,0.913961038961039,0.9285714285714286,0.8993506493506493,0.6096833127391525,0.9166666666666666
TBSI,transfer,Transfer learning,40,5,35,5,34,1,0,6,34,0.1657068249944132,0.0012309204321354,0.9977320432662964,1.0,,0.9090909090909091,0.975,0.9857142857142858,1.0,0.9714285714285714,0.8997354108424374,0.875
WBC,transfer,Transfer learning,176,22,154,21,153,1,1,22,154,0.13907832588864202,0.0002731121785473,0.9950228333473206,0.9991145218417946,,0.9545454545454546,0.9886363636363636,0.974025974025974,0.9545454545454546,0.9935064935064936,0.948051948051948,0.875
BMA,vit,ViT,60,5,55,0,55,0,5,0,60,0.011184761898281626,0.0017891846364364,0.340774804353714,0.9527272727272726,,0.0,0.9166666666666666,0.5,0.0,1.0,0.0,0.9166666666666666
PBS,vit,ViT,131,11,120,3,104,16,8,19,112,0.36414980382182216,0.0845884010195732,0.7504771947860718,0.8204545454545454,,0.19999999999999998,0.816793893129771,0.5696969696969697,0.2727272727272727,0.8666666666666667,0.10978551553497608,0.916030534351145
TBF,vit,ViT,336,28,308,0,308,0,28,0,336,0.426600959772865,0.3605716228485107,0.4638651311397552,0.4935064935064935,0.5064935064935064,0.0,0.9166666666666666,0.5,0.0,1.0,0.0,0.9166666666666666
TBSI,vit,ViT,40,5,35,4,31,4,1,8,32,0.4500937595963478,0.3459151089191437,0.7281090617179871,0.8057142857142857,,0.6153846153846154,0.875,0.8428571428571429,0.8,0.8857142857142857,0.5669467095138409,0.875
WBC,vit,ViT,176,22,154,18,144,10,4,28,148,0.16136989815409336,0.0015514502301812,0.9920859336853028,0.9737308146399055,,0.7200000000000001,0.9204545454545454,0.8766233766233766,0.8181818181818182,0.935064935064935,0.6810815188364802,0.875
