dataset,model_code_name,model_display_name,n_samples,n_focused,n_unfocused,TP,TN,FP,FN,predicted_positive_count,predicted_negative_count,mean_probability_focused,min_probability_focused,max_probability_focused,AUC,flipped_AUC,F1,accuracy,balanced_accuracy,recall,specificity,MCC,majority_class_baseline
BMA,cnn_attention,Attention-CNN,60,5,55,5,49,6,0,11,49,0.1966390031312281,0.0024100500158965,0.9804894328117372,0.989090909090909,,0.625,0.9,0.9454545454545454,1.0,0.8909090909090909,0.6363636363636364,0.9166666666666666
PBS,cnn,CNN,131,11,120,10,115,5,1,15,116,0.1220326993289113,1.3258772924018558e-05,0.9797216653823853,0.9772727272727272,,0.7692307692307692,0.9541984732824428,0.9337121212121212,0.9090909090909092,0.9583333333333334,0.7555164016019215,0.916030534351145
TBF,cnn,CNN,336,28,308,27,304,4,1,31,305,0.0881522495694387,5.630885880236747e-06,0.9983088970184326,0.9926948051948052,,0.9152542372881356,0.9851190476190476,0.9756493506493508,0.9642857142857144,0.987012987012987,0.9085325914026876,0.9166666666666666
TBSI,cnn,CNN,40,5,35,5,35,0,0,5,35,0.127751804471336,1.0583231414784676e-05,0.9976035952568054,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.875
WBC,cnn,CNN,176,22,154,22,153,1,0,23,153,0.1296179482450659,2.8221210257584065e-08,0.9999859929084778,1.0,,0.9777777777777776,0.9943181818181818,0.9967532467532468,1.0,0.9935064935064936,0.9748387348716768,0.875
