selection_rule,threshold,validation_balanced_accuracy,validation_ECE,validation_MCC,selection_family,constraint_satisfied,lambda,delta,model_code_name,model_display_name,CAOPS_score
CAOPS_penalty_lambda_0.0,0.56,0.9727657004830919,0.024394159079183138,0.8226069763832717,CAOPS_penalty,,0.0,,cnn_attention,Attention-CNN,0.9727657004830919
CAOPS_penalty_lambda_0.1,0.56,0.9727657004830919,0.024394159079183138,0.8226069763832717,CAOPS_penalty,,0.1,,cnn_attention,Attention-CNN,0.9703262845751736
CAOPS_penalty_lambda_0.25,0.56,0.9727657004830919,0.024394159079183138,0.8226069763832717,CAOPS_penalty,,0.25,,cnn_attention,Attention-CNN,0.9666671607132961
CAOPS_penalty_lambda_0.5,0.56,0.9727657004830919,0.024394159079183138,0.8226069763832717,CAOPS_penalty,,0.5,,cnn_attention,Attention-CNN,0.9605686209435003
CAOPS_penalty_lambda_1.0,0.56,0.9727657004830919,0.024394159079183138,0.8226069763832717,CAOPS_penalty,,1.0,,cnn_attention,Attention-CNN,0.9483715414039087
CAOPS_constraint_delta_0.025,0.56,0.9727657004830919,0.024394159079183138,0.8226069763832717,CAOPS_constraint,True,,0.025,cnn_attention,Attention-CNN,
CAOPS_constraint_delta_0.05,0.56,0.9727657004830919,0.024394159079183138,0.8226069763832717,CAOPS_constraint,True,,0.05,cnn_attention,Attention-CNN,
CAOPS_constraint_delta_0.075,0.56,0.9727657004830919,0.024394159079183138,0.8226069763832717,CAOPS_constraint,True,,0.075,cnn_attention,Attention-CNN,
CAOPS_constraint_delta_0.1,0.56,0.9727657004830919,0.024394159079183138,0.8226069763832717,CAOPS_constraint,True,,0.1,cnn_attention,Attention-CNN,
fixed_0p50,0.5,0.9193840579710144,0.030195082010044245,0.7676467622854243,reference,,,,cnn_focus_hybrid,CNN--focus hybrid,
Youden_J,0.23,0.9644927536231884,0.03153681056717035,0.7434949661177755,reference,,,,cnn_focus_hybrid,CNN--focus hybrid,
max_F1,0.4,0.944987922705314,0.030195082010044245,0.7880327988639226,reference,,,,cnn_focus_hybrid,CNN--focus hybrid,
max_balanced_accuracy,0.23,0.9644927536231884,0.03153681056717035,0.7434949661177755,reference,,,,cnn_focus_hybrid,CNN--focus hybrid,
max_MCC,0.4,0.944987922705314,0.030195082010044245,0.7880327988639226,reference,,,,cnn_focus_hybrid,CNN--focus hybrid,
CAOPS_penalty_lambda_0.0,0.23,0.9644927536231884,0.03153681056717035,0.7434949661177755,CAOPS_penalty,,0.0,,cnn_focus_hybrid,CNN--focus hybrid,0.9644927536231884
CAOPS_penalty_lambda_0.1,0.23,0.9644927536231884,0.03153681056717035,0.7434949661177755,CAOPS_penalty,,0.1,,cnn_focus_hybrid,CNN--focus hybrid,0.9613390725664714
CAOPS_penalty_lambda_0.25,0.23,0.9644927536231884,0.03153681056717035,0.7434949661177755,CAOPS_penalty,,0.25,,cnn_focus_hybrid,CNN--focus hybrid,0.9566085509813959
CAOPS_penalty_lambda_0.5,0.23,0.9644927536231884,0.03153681056717035,0.7434949661177755,CAOPS_penalty,,0.5,,cnn_focus_hybrid,CNN--focus hybrid,0.9487243483396033
CAOPS_penalty_lambda_1.0,0.25,0.9633454106280194,0.030195082010044245,0.7655260350166169,CAOPS_penalty,,1.0,,cnn_focus_hybrid,CNN--focus hybrid,0.9331503286179751
CAOPS_constraint_delta_0.025,0.26,0.9571256038647342,0.030195082010044238,0.7609150882609166,CAOPS_constraint,False,,0.025,cnn_focus_hybrid,CNN--focus hybrid,
CAOPS_constraint_delta_0.05,0.23,0.9644927536231884,0.03153681056717035,0.7434949661177755,CAOPS_constraint,True,,0.05,cnn_focus_hybrid,CNN--focus hybrid,
CAOPS_constraint_delta_0.075,0.23,0.9644927536231884,0.03153681056717035,0.7434949661177755,CAOPS_constraint,True,,0.075,cnn_focus_hybrid,CNN--focus hybrid,
CAOPS_constraint_delta_0.1,0.23,0.9644927536231884,0.03153681056717035,0.7434949661177755,CAOPS_constraint,True,,0.1,cnn_focus_hybrid,CNN--focus hybrid,
fixed_0p50,0.5,0.9286231884057972,0.018663577634954694,0.7217452144678853,reference,,,,transfer,Transfer learning,
Youden_J,0.3,0.9481280193236715,0.03248870407702539,0.6906718333590842,reference,,,,transfer,Transfer learning,
max_F1,0.73,0.8794685990338165,0.04339025437249723,0.7735804229454201,reference,,,,transfer,Transfer learning,
max_balanced_accuracy,0.3,0.9481280193236715,0.03248870407702539,0.6906718333590842,reference,,,,transfer,Transfer learning,
max_MCC,0.73,0.8794685990338165,0.04339025437249723,0.7735804229454201,reference,,,,transfer,Transfer learning,
CAOPS_penalty_lambda_0.0,0.3,0.9481280193236715,0.03248870407702539,0.6906718333590842,CAOPS_penalty,,0.0,,transfer,Transfer learning,0.9481280193236715
CAOPS_penalty_lambda_0.1,0.3,0.9481280193236715,0.03248870407702539,0.6906718333590842,CAOPS_penalty,,0.1,,transfer,Transfer learning,0.944879148915969
CAOPS_penalty_lambda_0.25,0.45,0.9465579710144928,0.019434125128190965,0.7324174898312331,CAOPS_penalty,,0.25,,transfer,Transfer learning,0.9416994397324451
CAOPS_penalty_lambda_0.5,0.45,0.9465579710144928,0.019434125128190965,0.7324174898312331,CAOPS_penalty,,0.5,,transfer,Transfer learning,0.9368409084503974
CAOPS_penalty_lambda_1.0,0.45,0.9465579710144928,0.019434125128190965,0.7324174898312331,CAOPS_penalty,,1.0,,transfer,Transfer learning,0.9271238458863018
CAOPS_constraint_delta_0.025,0.45,0.9465579710144928,0.019434125128190965,0.7324174898312331,CAOPS_constraint,True,,0.025,transfer,Transfer learning,
CAOPS_constraint_delta_0.05,0.3,0.9481280193236715,0.03248870407702539,0.6906718333590842,CAOPS_constraint,True,,0.05,transfer,Transfer learning,
CAOPS_constraint_delta_0.075,0.3,0.9481280193236715,0.03248870407702539,0.6906718333590842,CAOPS_constraint,True,,0.075,transfer,Transfer learning,
CAOPS_constraint_delta_0.1,0.3,0.9481280193236715,0.03248870407702539,0.6906718333590842,CAOPS_constraint,True,,0.1,transfer,Transfer learning,
fixed_0p50,0.5,0.91256038647343,0.034011344693786215,0.6920023392867989,reference,,,,hybrid_vit,Hybrid ViT,
Youden_J,0.28,0.9203502415458937,0.04390626092909172,0.6557455927684194,reference,,,,hybrid_vit,Hybrid ViT,
max_F1,0.74,0.9095410628019324,0.04340602206433822,0.7388159896688318,reference,,,,hybrid_vit,Hybrid ViT,
max_balanced_accuracy,0.28,0.9203502415458937,0.04390626092909172,0.6557455927684194,reference,,,,hybrid_vit,Hybrid ViT,
max_MCC,0.74,0.9095410628019324,0.04340602206433822,0.7388159896688318,reference,,,,hybrid_vit,Hybrid ViT,
CAOPS_penalty_lambda_0.0,0.28,0.9203502415458937,0.04390626092909172,0.6557455927684194,CAOPS_penalty,,0.0,,hybrid_vit,Hybrid ViT,0.9203502415458937
CAOPS_penalty_lambda_0.1,0.28,0.9203502415458937,0.04390626092909172,0.6557455927684194,CAOPS_penalty,,0.1,,hybrid_vit,Hybrid ViT,0.9159596154529845
CAOPS_penalty_lambda_0.25,0.28,0.9203502415458937,0.04390626092909172,0.6557455927684194,CAOPS_penalty,,0.25,,hybrid_vit,Hybrid ViT,0.9093736763136208
CAOPS_penalty_lambda_0.5,0.28,0.9203502415458937,0.04390626092909172,0.6557455927684194,CAOPS_penalty,,0.5,,hybrid_vit,Hybrid ViT,0.8983971110813479
CAOPS_penalty_lambda_1.0,0.5,0.91256038647343,0.034011344693786215,0.6920023392867989,CAOPS_penalty,,1.0,,hybrid_vit,Hybrid ViT,0.8785490417796438
CAOPS_constraint_delta_0.025,0.47,0.9111111111111111,0.034011344693786215,0.6843209935112708,CAOPS_constraint,False,,0.025,hybrid_vit,Hybrid ViT,
CAOPS_constraint_delta_0.05,0.28,0.9203502415458937,0.04390626092909172,0.6557455927684194,CAOPS_constraint,True,,0.05,hybrid_vit,Hybrid ViT,
CAOPS_constraint_delta_0.075,0.28,0.9203502415458937,0.04390626092909172,0.6557455927684194,CAOPS_constraint,True,,0.075,hybrid_vit,Hybrid ViT,
CAOPS_constraint_delta_0.1,0.28,0.9203502415458937,0.04390626092909172,0.6557455927684194,CAOPS_constraint,True,,0.1,hybrid_vit,Hybrid ViT,
fixed_0p50,0.5,0.702415458937198,0.1706937520698769,0.3024746502072529,reference,,,,focus_dnn,Focus-DNN,
Youden_J,0.41,0.7780193236714976,0.17069375206987691,0.32758298314632717,reference,,,,focus_dnn,Focus-DNN,
max_F1,0.79,0.694987922705314,0.22661558850582816,0.4268004154383579,reference,,,,focus_dnn,Focus-DNN,
max_balanced_accuracy,0.41,0.7780193236714976,0.17069375206987691,0.32758298314632717,reference,,,,focus_dnn,Focus-DNN,
max_MCC,0.82,0.6498792270531402,0.26903326929671556,0.4829883471102914,reference,,,,focus_dnn,Focus-DNN,
CAOPS_penalty_lambda_0.0,0.41,0.7780193236714976,0.17069375206987691,0.32758298314632717,CAOPS_penalty,,0.0,,focus_dnn,Focus-DNN,0.7780193236714976
CAOPS_penalty_lambda_0.1,0.41,0.7780193236714976,0.17069375206987691,0.32758298314632717,CAOPS_penalty,,0.1,,focus_dnn,Focus-DNN,0.7609499484645099
CAOPS_penalty_lambda_0.25,0.41,0.7780193236714976,0.17069375206987691,0.32758298314632717,CAOPS_penalty,,0.25,,focus_dnn,Focus-DNN,0.7353458856540284
CAOPS_penalty_lambda_0.5,0.41,0.7780193236714976,0.17069375206987691,0.32758298314632717,CAOPS_penalty,,0.5,,focus_dnn,Focus-DNN,0.6926724476365591
CAOPS_penalty_lambda_1.0,0.41,0.7780193236714976,0.17069375206987691,0.32758298314632717,CAOPS_penalty,,1.0,,focus_dnn,Focus-DNN,0.6073255716016207
CAOPS_constraint_delta_0.025,0.5,0.702415458937198,0.1706937520698769,0.3024746502072529,CAOPS_constraint,False,,0.025,focus_dnn,Focus-DNN,
CAOPS_constraint_delta_0.05,0.5,0.702415458937198,0.1706937520698769,0.3024746502072529,CAOPS_constraint,False,,0.05,focus_dnn,Focus-DNN,
CAOPS_constraint_delta_0.075,0.5,0.702415458937198,0.1706937520698769,0.3024746502072529,CAOPS_constraint,False,,0.075,focus_dnn,Focus-DNN,
CAOPS_constraint_delta_0.1,0.5,0.702415458937198,0.1706937520698769,0.3024746502072529,CAOPS_constraint,False,,0.1,focus_dnn,Focus-DNN,
fixed_0p50,0.5,0.7702294685990339,0.16757279900423702,0.5825451219480335,reference,,,,classical_ml,Classical ML,
Youden_J,0.46,0.7757246376811595,0.16757279900423705,0.5815387594160228,reference,,,,classical_ml,Classical ML,
max_F1,0.71,0.7657608695652174,0.175872893980476,0.6527943672369048,reference,,,,classical_ml,Classical ML,
max_balanced_accuracy,0.46,0.7757246376811595,0.16757279900423705,0.5815387594160228,reference,,,,classical_ml,Classical ML,
max_MCC,0.71,0.7657608695652174,0.175872893980476,0.6527943672369048,reference,,,,classical_ml,Classical ML,
CAOPS_penalty_lambda_0.0,0.46,0.7757246376811595,0.16757279900423705,0.5815387594160228,CAOPS_penalty,,0.0,,classical_ml,Classical ML,0.7757246376811595
CAOPS_penalty_lambda_0.1,0.46,0.7757246376811595,0.16757279900423705,0.5815387594160228,CAOPS_penalty,,0.1,,classical_ml,Classical ML,0.7589673577807358
CAOPS_penalty_lambda_0.25,0.46,0.7757246376811595,0.16757279900423705,0.5815387594160228,CAOPS_penalty,,0.25,,classical_ml,Classical ML,0.7338314379301003
CAOPS_penalty_lambda_0.5,0.46,0.7757246376811595,0.16757279900423705,0.5815387594160228,CAOPS_penalty,,0.5,,classical_ml,Classical ML,0.691938238179041
CAOPS_penalty_lambda_1.0,0.46,0.7757246376811595,0.16757279900423705,0.5815387594160228,CAOPS_penalty,,1.0,,classical_ml,Classical ML,0.6081518386769225
CAOPS_constraint_delta_0.025,0.48,0.7695048309178744,0.16757279900423702,0.576690077310291,CAOPS_constraint,False,,0.025,classical_ml,Classical ML,
CAOPS_constraint_delta_0.05,0.48,0.7695048309178744,0.16757279900423702,0.576690077310291,CAOPS_constraint,False,,0.05,classical_ml,Classical ML,
CAOPS_constraint_delta_0.075,0.48,0.7695048309178744,0.16757279900423702,0.576690077310291,CAOPS_constraint,False,,0.075,classical_ml,Classical ML,
CAOPS_constraint_delta_0.1,0.48,0.7695048309178744,0.16757279900423702,0.576690077310291,CAOPS_constraint,False,,0.1,classical_ml,Classical ML,
fixed_0p50,0.5,0.6952898550724638,0.13905805843733157,0.2716204081071392,reference,,,,threshold_baselines,Threshold baselines,
Youden_J,0.64,0.7184782608695652,0.16715529898983328,0.3273525106212383,reference,,,,threshold_baselines,Threshold baselines,
max_F1,0.82,0.7095410628019323,0.20413220696899254,0.34492792947602263,reference,,,,threshold_baselines,Threshold baselines,
max_balanced_accuracy,0.64,0.7184782608695652,0.16715529898983328,0.3273525106212383,reference,,,,threshold_baselines,Threshold baselines,
max_MCC,0.82,0.7095410628019323,0.20413220696899254,0.34492792947602263,reference,,,,threshold_baselines,Threshold baselines,
CAOPS_penalty_lambda_0.0,0.64,0.7184782608695652,0.16715529898983328,0.3273525106212383,CAOPS_penalty,,0.0,,threshold_baselines,Threshold baselines,0.7184782608695652
CAOPS_penalty_lambda_0.1,0.64,0.7184782608695652,0.16715529898983328,0.3273525106212383,CAOPS_penalty,,0.1,,threshold_baselines,Threshold baselines,0.701762730970582
CAOPS_penalty_lambda_0.25,0.64,0.7184782608695652,0.16715529898983328,0.3273525106212383,CAOPS_penalty,,0.25,,threshold_baselines,Threshold baselines,0.676689436122107
CAOPS_penalty_lambda_0.5,0.61,0.7148550724637681,0.15902968781225368,0.3177249772536008,CAOPS_penalty,,0.5,,threshold_baselines,Threshold baselines,0.6353402285576413
CAOPS_penalty_lambda_1.0,0.55,0.7047101449275363,0.1397689438713446,0.2927028981420985,CAOPS_penalty,,1.0,,threshold_baselines,Threshold baselines,0.5649412010561916
CAOPS_constraint_delta_0.025,0.49,0.6952898550724638,0.13905805843733157,0.2716204081071392,CAOPS_constraint,False,,0.025,threshold_baselines,Threshold baselines,
CAOPS_constraint_delta_0.05,0.49,0.6952898550724638,0.13905805843733157,0.2716204081071392,CAOPS_constraint,False,,0.05,threshold_baselines,Threshold baselines,
CAOPS_constraint_delta_0.075,0.49,0.6952898550724638,0.13905805843733157,0.2716204081071392,CAOPS_constraint,False,,0.075,threshold_baselines,Threshold baselines,
CAOPS_constraint_delta_0.1,0.49,0.6952898550724638,0.13905805843733157,0.2716204081071392,CAOPS_constraint,False,,0.1,threshold_baselines,Threshold baselines,
fixed_0p50,0.5,0.6809178743961353,0.2313029136711284,0.32953362090086674,reference,,,,vit,ViT,
Youden_J,0.45,0.7056159420289855,0.23130291367112843,0.3207604860474742,reference,,,,vit,ViT,
max_F1,0.48,0.6988526570048309,0.2313029136711284,0.35057380021732815,reference,,,,vit,ViT,
max_balanced_accuracy,0.45,0.7056159420289855,0.23130291367112843,0.3207604860474742,reference,,,,vit,ViT,
