family,display_name,ece,brier_score
cnn,cnn,0.013730788714338069,0.015054746200470428
hybrid_vit,hybrid_vit,0.036793222438418836,0.04557800229987542
cnn_focus_hybrid,cnn_focus_hybrid,0.047279219106123115,0.031090880340646387
transfer,transfer:MobileNet,0.0643030730272614,0.04748126776882522
cnn_attention,cnn_attention,0.06443149128432733,0.0325594526791175
classical_ml,classical_ml:gradient_boosting,0.18296410197622107,0.11464202874716851
vit,vit,0.23534802713401332,0.14484277716911242
focus_dnn,focus_dnn,0.2582398968100708,0.14928702881747297
