trial_id,score,status,num_blocks,filters_base,kernel_size,dropout,batchnorm,dense_units,l2_reg,optimizer,learning_rate,tuner/epochs,tuner/initial_epoch,tuner/bracket,tuner/round,tuner/trial_id,family,tuner_type,objective,batch_size,epochs_configured,learning_rate_std,optimizer_std,dropout_std,dense_units_std,depth_std,backbone_std,score_rank_within_family,attention_type,se_ratio,attention_placement,spatial_kernel,num_layers,units,activation,l2,backbone_choice,focus_units,fusion_layers,fusion_units,fusion_dropout,unfreeze_top
36,0.9777777791023254,COMPLETED,3.0,40.0,3.0,0.2,1.0,128.0,0.0003847045824459,rmsprop,0.0004566366132229,6.0,2.0,3.0,1.0,18.0,cnn,hyperband,val_auc,32,50,0.0004566366132229,rmsprop,0.2,128,3,,22.0,,,,,,,,,,,,,,
44,0.9770933985710144,COMPLETED,3.0,24.0,3.0,0.2,1.0,128.0,0.000148171206387,rmsprop,0.0009639648371754,6.0,2.0,3.0,1.0,6.0,cnn,hyperband,val_auc,32,50,0.0009639648371754,rmsprop,0.2,128,3,,23.0,,,,,,,,,,,,,,
83,0.975825309753418,COMPLETED,4.0,16.0,3.0,0.0,1.0,0.0,0.0008149016479579,rmsprop,0.0009451937190871,50.0,17.0,1.0,1.0,77.0,cnn,hyperband,val_auc,32,50,0.0009451937190871,rmsprop,0.0,0,4,,24.0,,,,,,,,,,,,,,
41,0.975171148777008,COMPLETED,5.0,32.0,3.0,0.3,1.0,64.0,0.0009196182992718,rmsprop,0.0007344961639169,6.0,2.0,3.0,1.0,20.0,cnn,hyperband,val_auc,32,50,0.0007344961639169,rmsprop,0.3,64,5,,25.0,,,,,,,,,,,,,,
89,0.9748390316963196,COMPLETED,4.0,16.0,5.0,0.0,0.0,128.0,0.0001015318778271,rmsprop,0.0007365052851281,50.0,0.0,0.0,0.0,,cnn,hyperband,val_auc,32,50,0.0007365052851281,rmsprop,0.0,128,4,,26.0,,,,,,,,,,,,,,
49,0.9707125425338744,COMPLETED,4.0,40.0,3.0,0.2,1.0,128.0,0.0006986371849031,adam,0.0005009769004545,17.0,6.0,3.0,2.0,43.0,cnn,hyperband,val_auc,32,50,0.0005009769004545,adam,0.2,128,4,,27.0,,,,,,,,,,,,,,
25,0.969555139541626,COMPLETED,2.0,56.0,3.0,0.4,1.0,256.0,0.0001920598347906,adam,0.0007836795869032,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.0007836795869032,adam,0.4,256,2,,28.0,,,,,,,,,,,,,,
82,0.9695451259613036,COMPLETED,4.0,40.0,3.0,0.2,1.0,192.0,0.0004821622586048,rmsprop,0.0007342753081583,50.0,17.0,1.0,1.0,76.0,cnn,hyperband,val_auc,32,50,0.0007342753081583,rmsprop,0.2,192,4,,29.0,,,,,,,,,,,,,,
5,0.9689512848854064,COMPLETED,2.0,32.0,3.0,0.1,1.0,128.0,0.0009123433593597,rmsprop,0.0007841453304787,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.0007841453304787,rmsprop,0.1,128,2,,30.0,,,,,,,,,,,,,,
20,0.9676027297973632,COMPLETED,5.0,32.0,3.0,0.3,1.0,64.0,0.0009196182992718,rmsprop,0.0007344961639169,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.0007344961639169,rmsprop,0.3,64,5,,31.0,,,,,,,,,,,,,,
17,0.9667974710464478,COMPLETED,4.0,48.0,5.0,0.0,1.0,0.0,6.710225875940379e-05,rmsprop,0.0001816823641815,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.0001816823641815,rmsprop,0.0,0,4,,32.0,,,,,,,,,,,,,,
55,0.9640800952911376,COMPLETED,2.0,48.0,3.0,0.0,1.0,256.0,0.0004793919807025,adam,0.0005645749485234,6.0,0.0,2.0,0.0,,cnn,hyperband,val_auc,32,50,0.0005645749485234,adam,0.0,256,2,,33.0,,,,,,,,,,,,,,
72,0.9620370268821716,COMPLETED,3.0,24.0,3.0,0.0,1.0,64.0,0.0002370863065109,adam,0.0009155911093474,50.0,17.0,2.0,2.0,71.0,cnn,hyperband,val_auc,32,50,0.0009155911093474,adam,0.0,64,3,,34.0,,,,,,,,,,,,,,
30,0.9614331126213074,COMPLETED,4.0,40.0,3.0,0.2,1.0,128.0,0.0006986371849031,adam,0.0005009769004545,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.0005009769004545,adam,0.2,128,4,,35.0,,,,,,,,,,,,,,
40,0.961282193660736,COMPLETED,2.0,32.0,3.0,0.1,1.0,128.0,0.0009123433593597,rmsprop,0.0007841453304787,6.0,2.0,3.0,1.0,5.0,cnn,hyperband,val_auc,32,50,0.0007841453304787,rmsprop,0.1,128,2,,36.0,,,,,,,,,,,,,,
63,0.9570954442024232,COMPLETED,3.0,24.0,3.0,0.0,1.0,64.0,0.0002370863065109,adam,0.0009155911093474,6.0,0.0,2.0,0.0,,cnn,hyperband,val_auc,32,50,0.0009155911093474,adam,0.0,64,3,,37.0,,,,,,,,,,,,,,
38,0.9546597599983216,COMPLETED,5.0,24.0,3.0,0.2,1.0,128.0,0.0007315311304002,adam,0.0008123733423653,6.0,2.0,3.0,1.0,4.0,cnn,hyperband,val_auc,32,50,0.0008123733423653,adam,0.2,128,5,,38.0,,,,,,,,,,,,,,
68,0.9465378522872924,COMPLETED,3.0,64.0,3.0,0.0,1.0,256.0,3.522784379453303e-05,adam,0.0005479177682935,17.0,6.0,2.0,1.0,57.0,cnn,hyperband,val_auc,32,50,0.0005479177682935,adam,0.0,256,3,,39.0,,,,,,,,,,,,,,
67,0.9336352348327636,COMPLETED,4.0,56.0,3.0,0.4,1.0,192.0,0.0005926779558565,adam,0.0003447290699761,17.0,6.0,2.0,1.0,64.0,cnn,hyperband,val_auc,32,50,0.0003447290699761,adam,0.4,192,4,,40.0,,,,,,,,,,,,,,
6,0.928824543952942,COMPLETED,3.0,24.0,3.0,0.2,1.0,128.0,0.000148171206387,rmsprop,0.0009639648371754,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.0009639648371754,rmsprop,0.2,128,3,,41.0,,,,,,,,,,,,,,
84,0.9279287457466124,COMPLETED,4.0,48.0,3.0,0.0,0.0,0.0,0.0009389118770036,rmsprop,0.0005460502514353,50.0,17.0,1.0,1.0,74.0,cnn,hyperband,val_auc,32,50,0.0005460502514353,rmsprop,0.0,0,4,,42.0,,,,,,,,,,,,,,
1,0.92396342754364,COMPLETED,2.0,64.0,5.0,0.4,1.0,256.0,4.256571358257688e-05,rmsprop,0.0003017669273625,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.0003017669273625,rmsprop,0.4,256,2,,43.0,,,,,,,,,,,,,,
65,0.9198570847511292,COMPLETED,2.0,64.0,3.0,0.4,1.0,0.0,0.0009820725297773,rmsprop,0.0004026955441272,6.0,0.0,2.0,0.0,,cnn,hyperband,val_auc,32,50,0.0004026955441272,rmsprop,0.4,0,2,,44.0,,,,,,,,,,,,,,
11,0.917512059211731,COMPLETED,4.0,48.0,5.0,0.2,0.0,0.0,0.0006052398804018,adam,0.0001639967567346,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.0001639967567346,adam,0.2,0,4,,45.0,,,,,,,,,,,,,,
73,0.9162540435791016,COMPLETED,3.0,64.0,3.0,0.0,1.0,256.0,3.522784379453303e-05,adam,0.0005479177682935,50.0,17.0,2.0,2.0,68.0,cnn,hyperband,val_auc,32,50,0.0005479177682935,adam,0.0,256,3,,46.0,,,,,,,,,,,,,,
12,0.915891706943512,COMPLETED,5.0,48.0,5.0,0.4,1.0,128.0,0.0004877794788599,rmsprop,0.0007158270757627,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.0007158270757627,rmsprop,0.4,128,5,,47.0,,,,,,,,,,,,,,
13,0.915197253227234,COMPLETED,3.0,16.0,5.0,0.0,0.0,0.0,1.6825005872407096e-05,adam,0.0003059460151093,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.0003059460151093,adam,0.0,0,3,,48.0,,,,,,,,,,,,,,
74,0.9114633202552797,COMPLETED,4.0,48.0,3.0,0.0,0.0,0.0,0.0009389118770036,rmsprop,0.0005460502514353,17.0,0.0,1.0,0.0,,cnn,hyperband,val_auc,32,50,0.0005460502514353,rmsprop,0.0,0,4,,49.0,,,,,,,,,,,,,,
16,0.9099738001823424,COMPLETED,3.0,32.0,5.0,0.2,1.0,192.0,0.0003733361872477,rmsprop,0.0008334023828978,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.0008334023828978,rmsprop,0.2,192,3,,50.0,,,,,,,,,,,,,,
42,0.9053241014480592,COMPLETED,4.0,48.0,5.0,0.0,1.0,0.0,6.710225875940379e-05,rmsprop,0.0001816823641815,6.0,2.0,3.0,1.0,17.0,cnn,hyperband,val_auc,32,50,0.0001816823641815,rmsprop,0.0,0,4,,51.0,,,,,,,,,,,,,,
23,0.902163863182068,COMPLETED,3.0,32.0,3.0,0.3,0.0,64.0,5.529818180508495e-05,adam,0.0003853576583427,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.0003853576583427,adam,0.3,64,3,,52.0,,,,,,,,,,,,,,
3,0.8908312916755676,COMPLETED,4.0,64.0,3.0,0.0,1.0,256.0,0.000450845134145,adam,0.000819203832205,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.000819203832205,adam,0.0,256,4,,53.0,,,,,,,,,,,,,,
10,0.8865237236022949,COMPLETED,3.0,40.0,3.0,0.3,0.0,0.0,0.0001934363348923,adam,0.0007944318457284,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.0007944318457284,adam,0.3,0,3,,54.0,,,,,,,,,,,,,,
66,0.8822765946388245,COMPLETED,2.0,64.0,3.0,0.3,0.0,256.0,0.0003928483841377,rmsprop,0.0005689896951307,6.0,0.0,2.0,0.0,,cnn,hyperband,val_auc,32,50,0.0005689896951307,rmsprop,0.3,256,2,,55.0,,,,,,,,,,,,,,
60,0.8791565895080566,COMPLETED,2.0,48.0,3.0,0.1,0.0,128.0,0.0001633427689463,adam,0.0003294162427151,6.0,0.0,2.0,0.0,,cnn,hyperband,val_auc,32,50,0.0003294162427151,adam,0.1,128,2,,56.0,,,,,,,,,,,,,,
21,0.8726348280906677,COMPLETED,5.0,24.0,5.0,0.1,1.0,192.0,0.000622525926642,rmsprop,0.0002068458711533,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.0002068458711533,rmsprop,0.1,192,5,,57.0,,,,,,,,,,,,,,
2,0.8725039958953857,COMPLETED,3.0,40.0,5.0,0.2,1.0,128.0,7.08089270590726e-05,adam,0.0007675020420531,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.0007675020420531,adam,0.2,128,3,,58.0,,,,,,,,,,,,,,
29,0.8595612049102783,COMPLETED,2.0,16.0,3.0,0.2,0.0,0.0,6.3447835275673e-05,rmsprop,0.000838397840694,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.000838397840694,rmsprop,0.2,0,2,,59.0,,,,,,,,,,,,,,
14,0.8549517393112183,COMPLETED,4.0,24.0,5.0,0.3,1.0,64.0,0.0008041030466905,adam,0.0001267292525619,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.0001267292525619,adam,0.3,64,4,,60.0,,,,,,,,,,,,,,
88,0.8538848161697388,COMPLETED,2.0,40.0,5.0,0.0,0.0,256.0,0.0007251993037481,adam,0.0001225993609922,50.0,0.0,0.0,0.0,,cnn,hyperband,val_auc,32,50,0.0001225993609922,adam,0.0,256,2,,61.0,,,,,,,,,,,,,,
69,0.8532307147979736,COMPLETED,5.0,24.0,3.0,0.0,1.0,192.0,0.0007983215131971,rmsprop,0.0002323756629003,17.0,6.0,2.0,1.0,58.0,cnn,hyperband,val_auc,32,50,0.0002323756629003,rmsprop,0.0,192,5,,62.0,,,,,,,,,,,,,,
54,0.852445662021637,COMPLETED,2.0,16.0,5.0,0.3,1.0,64.0,0.0001172141112946,adam,0.0003984505917123,6.0,0.0,2.0,0.0,,cnn,hyperband,val_auc,32,50,0.0003984505917123,adam,0.3,64,2,,63.0,,,,,,,,,,,,,,
