family,factor_name,factor_value,n_trials,mean_score,median_score,std_score,best_score
cnn,dense_units_std,128,19,0.903980741375371,0.961282193660736,0.11826562284388534,0.98854660987854
cnn,dense_units_std,256,18,0.9038334124618106,0.9201087355613708,0.08124639828810233,0.9968095421791076
cnn,dense_units_std,192,17,0.8810546433224398,0.9336352348327636,0.14123688473800142,0.9927937984466552
cnn,dense_units_std,0,19,0.8790808508270666,0.917512059211731,0.1387516876759594,0.9917171001434326
cnn,dense_units_std,64,17,0.8151392656214097,0.8416968584060669,0.14407444682851422,0.9801731705665588
cnn,depth_std,3,17,0.9105759192915523,0.928824543952942,0.09917147625521779,0.9899657368659972
cnn,depth_std,4,27,0.901199910375807,0.9614331126213074,0.12315868987671488,0.9927937984466552
cnn,depth_std,5,22,0.8783784481612119,0.9713869392871856,0.16443593233916548,0.9968095421791076
cnn,depth_std,2,24,0.8269147525231043,0.8359349966049194,0.1056202431316107,0.969555139541626
cnn,dropout_std,0.2,29,0.9009346057628763,0.9695451259613036,0.13159376574567588,0.9927937984466552
cnn,dropout_std,0.0,29,0.8996810584232725,0.9465378522872924,0.11962390102007796,0.9968095421791076
cnn,dropout_std,0.1,6,0.8796547750631968,0.8758957087993622,0.07050667442781951,0.9689512848854064
cnn,dropout_std,0.3,10,0.8664794921875,0.8844001591205597,0.12339481628810044,0.97784823179245
cnn,dropout_std,0.4,16,0.8013681434094906,0.8167622983455658,0.13943692253928133,0.992129683494568
cnn,filters_base,16.0,11,0.9252964691682295,0.9748390316963196,0.06600540466401587,0.9919082522392272
cnn,filters_base,24.0,13,0.9210261289889996,0.9546597599983216,0.05887191840426737,0.9864030480384828
cnn,filters_base,56.0,9,0.915600962109036,0.9889492988586426,0.13144474734816253,0.992129683494568
cnn,filters_base,48.0,16,0.9073407202959061,0.9167018830776215,0.08060872982951907,0.9968095421791076
cnn,filters_base,40.0,12,0.9007405539353689,0.9654891192913055,0.11207561247206668,0.9927937984466552
cnn,filters_base,32.0,11,0.8473905758424238,0.9099738001823424,0.15847455132517635,0.97784823179245
cnn,filters_base,64.0,18,0.7746013402938843,0.8159571290016174,0.16175773714674943,0.9899657368659972
cnn,kernel_size,3.0,61,0.9205424580417696,0.9640800952911376,0.09712077365138592,0.9968095421791076
cnn,kernel_size,5.0,29,0.7872199375053932,0.830173134803772,0.14500510440176942,0.9748390316963196
cnn,learning_rate_std,"(-0.000877, 0.000333]",23,0.9090325936027195,0.917512059211731,0.09007093433229149,0.9968095421791076
cnn,learning_rate_std,"(0.000333, 0.000565]",23,0.8969180972679801,0.9198570847511292,0.08509526253337645,0.992129683494568
cnn,learning_rate_std,"(0.000805, 0.00098]",23,0.8553240843441176,0.928824543952942,0.1605892747440854,0.9919082522392272
cnn,learning_rate_std,"(0.000565, 0.000805]",21,0.8463403951554072,0.8865237236022949,0.15811313954213096,0.9927937984466552
cnn,optimizer_std,rmsprop,42,0.8822502224218278,0.9219102561473846,0.12114213716985306,0.9927937984466552
cnn,optimizer_std,adam,48,0.8734991413851579,0.9157256484031677,0.13817557712052522,0.9968095421791076
cnn_attention,attention_type,none,15,0.8474127689997355,0.8772745728492737,0.13868641382021576,0.9950482845306396
cnn_attention,attention_type,se,11,0.8292444185777144,0.8441424369812012,0.1594053932416456,0.992834210395813
cnn_attention,attention_type,cbam,24,0.8241642440358797,0.9121578335762024,0.17385510912197896,0.9927937984466552
cnn_attention,dense_units_std,64,13,0.8706622215417715,0.953401744365692,0.16696073052177518,0.9950482845306396
cnn_attention,dense_units_std,192,13,0.8465424959476178,0.8226248025894165,0.14075291466230383,0.992834210395813
cnn_attention,dense_units_std,256,11,0.8354358781467784,0.866304337978363,0.1468033407629368,0.9927937984466552
cnn_attention,dense_units_std,0,3,0.7815989057223002,0.8245470523834229,0.15400520525942868,0.9450383186340332
cnn_attention,dense_units_std,128,10,0.7754569292068482,0.8438606560230255,0.17564185622905698,0.992814004421234
cnn_attention,depth_std,4,12,0.884538546204567,0.9384661316871642,0.14304998084772091,0.992834210395813
cnn_attention,depth_std,3,15,0.882833460966746,0.9617653489112854,0.13915209146611643,0.9950482845306396
cnn_attention,depth_std,2,13,0.7774487550442035,0.8226248025894165,0.1550022418969851,0.964009702205658
cnn_attention,depth_std,5,10,0.7649023711681366,0.8255434632301331,0.17164506783145167,0.9808171987533568
cnn_attention,dropout_std,0.0,14,0.8977937315191541,0.9811694622039795,0.16643223195359186,0.9950482845306396
cnn_attention,dropout_std,0.2,8,0.8606255203485489,0.9310940504074097,0.14758034558987568,0.992834210395813
cnn_attention,dropout_std,0.1,11,0.8167892748659308,0.91192626953125,0.17000178433659854,0.9894424676895142
cnn_attention,dropout_std,0.4,14,0.7940317903246198,0.8438606560230255,0.12785771229215515,0.9597824811935424
cnn_attention,dropout_std,0.3,3,0.6858595013618469,0.675412654876709,0.1092230923535987,0.8245470523834229
cnn_attention,filters_base,32.0,7,0.943230926990509,0.9808171987533568,0.06029885763538612,0.9927937984466552
cnn_attention,filters_base,56.0,3,0.8998389840126038,0.8907105922698975,0.04052451910573803,0.953401744365692
