family,display_name,split,score_type,threshold,accuracy,precision,recall,specificity,f1,mcc,balanced_accuracy
cnn_attention,cnn_attention,test,probability,0.05,0.775235531628533,0.29831932773109243,1.0,0.7514880952380952,0.459546925566343,0.4734801192968378,0.8757440476190477
cnn_attention,cnn_attention,test,probability,0.1,0.847913862718708,0.3858695652173913,1.0,0.8318452380952381,0.5568627450980392,0.5665542872064131,0.9159226190476191
cnn_attention,cnn_attention,test,probability,0.15,0.8855989232839838,0.4551282051282051,1.0,0.8735119047619048,0.6255506607929515,0.6305235169067094,0.9367559523809523
cnn_attention,cnn_attention,test,probability,0.2,0.9030955585464334,0.4965034965034965,1.0,0.8928571428571429,0.663551401869159,0.6658128065054721,0.9464285714285714
cnn_attention,cnn_attention,test,probability,0.25,0.9219380888290714,0.5503875968992248,1.0,0.9136904761904762,0.71,0.7091430782995661,0.9568452380952381
cnn_attention,cnn_attention,test,probability,0.3,0.9340511440107672,0.5916666666666667,1.0,0.9270833333333334,0.743455497382199,0.7406242674633039,0.9635416666666667
cnn_attention,cnn_attention,test,probability,0.35,0.9407806191117093,0.6173913043478261,1.0,0.9345238095238095,0.7634408602150538,0.759583355337651,0.9672619047619048
cnn_attention,cnn_attention,test,probability,0.39999999999999997,0.9502018842530283,0.6574074074074074,1.0,0.9449404761904762,0.7932960893854749,0.7881693146822591,0.9724702380952381
cnn_attention,cnn_attention,test,probability,0.44999999999999996,0.955585464333782,0.6862745098039216,0.9859154929577465,0.9523809523809523,0.8092485549132947,0.8015392267810784,0.9691482226693494
cnn_attention,cnn_attention,test,probability,0.49999999999999994,0.9582772543741588,0.7,0.9859154929577465,0.9553571428571429,0.8187134502923976,0.810818702607675,0.9706363179074446
cnn_attention,cnn_attention,test,probability,0.5499999999999999,0.9609690444145357,0.7142857142857143,0.9859154929577465,0.9583333333333334,0.8284023668639053,0.8203654647058851,0.97212441314554
cnn_attention,cnn_attention,test,probability,0.6,0.9636608344549125,0.7291666666666666,0.9859154929577465,0.9613095238095238,0.8383233532934132,0.8301932797598621,0.9736125083836351
cnn_attention,cnn_attention,test,probability,0.65,0.9676985195154778,0.7526881720430108,0.9859154929577465,0.9657738095238095,0.8536585365853658,0.8454946150327022,0.975844651240778
cnn_attention,cnn_attention,test,probability,0.7,0.9730820995962315,0.7931034482758621,0.971830985915493,0.9732142857142857,0.8734177215189873,0.864081841101952,0.9725226358148893
cnn_attention,cnn_attention,test,probability,0.75,0.9757738896366084,0.8192771084337349,0.9577464788732394,0.9776785714285714,0.8831168831168831,0.8729950734803275,0.9677125251509053
cnn_attention,cnn_attention,test,probability,0.7999999999999999,0.9798115746971736,0.85,0.9577464788732394,0.9821428571428571,0.9006622516556291,0.8914331397757951,0.9699446680080482
cnn_attention,cnn_attention,test,probability,0.85,0.9798115746971736,0.868421052631579,0.9295774647887324,0.9851190476190477,0.8979591836734694,0.8874034666927231,0.95734825620389
cnn_attention,cnn_attention,test,probability,0.9,0.9825033647375505,0.8918918918918919,0.9295774647887324,0.9880952380952381,0.9103448275862069,0.9008919484224686,0.9588363514419853
cnn_attention,cnn_attention,test,probability,0.95,0.9730820995962315,0.9636363636363636,0.7464788732394366,0.9970238095238095,0.8412698412698413,0.8348737129048688,0.8717513413816231
cnn,cnn,test,probability,0.05,0.9542395693135935,0.6796116504854369,0.9859154929577465,0.9508928571428571,0.8045977011494252,0.7969956749903842,0.9684041750503019
cnn,cnn,test,probability,0.1,0.9623149394347241,0.7263157894736842,0.971830985915493,0.9613095238095238,0.8313253012048194,0.8215075305249375,0.9665702548625084
cnn,cnn,test,probability,0.15,0.971736204576043,0.7840909090909091,0.971830985915493,0.9717261904761905,0.8679245283018867,0.8584599662193164,0.9717785881958417
cnn,cnn,test,probability,0.2,0.9784656796769852,0.8313253012048193,0.971830985915493,0.9791666666666666,0.8961038961038961,0.8875283651295373,0.9754988262910798
cnn,cnn,test,probability,0.25,0.9771197846567967,0.8292682926829268,0.9577464788732394,0.9791666666666666,0.8888888888888888,0.8790336235241633,0.968456572769953
cnn,cnn,test,probability,0.3,0.9771197846567967,0.8375,0.9436619718309859,0.9806547619047619,0.8874172185430463,0.8766633863449367,0.9621583668678739
cnn,cnn,test,probability,0.35,0.9798115746971736,0.8589743589743589,0.9436619718309859,0.9836309523809523,0.8993288590604026,0.8893498430632557,0.963646462105969
cnn,cnn,test,probability,0.39999999999999997,0.9811574697173621,0.8701298701298701,0.9436619718309859,0.9851190476190477,0.9054054054054054,0.8958693227541976,0.9643905097250167
cnn,cnn,test,probability,0.44999999999999996,0.9811574697173621,0.8701298701298701,0.9436619718309859,0.9851190476190477,0.9054054054054054,0.8958693227541976,0.9643905097250167
cnn,cnn,test,probability,0.49999999999999994,0.9811574697173621,0.8701298701298701,0.9436619718309859,0.9851190476190477,0.9054054054054054,0.8958693227541976,0.9643905097250167
cnn,cnn,test,probability,0.5499999999999999,0.9825033647375505,0.881578947368421,0.9436619718309859,0.9866071428571429,0.9115646258503401,0.9025114080279665,0.9651345573440644
cnn,cnn,test,probability,0.6,0.9811574697173621,0.88,0.9295774647887324,0.9866071428571429,0.9041095890410958,0.8940832094998004,0.9580923038229376
cnn,cnn,test,probability,0.65,0.9798115746971736,0.8783783783783784,0.9154929577464789,0.9866071428571429,0.896551724137931,0.8856041099956942,0.9510500503018109
cnn,cnn,test,probability,0.7,0.9798115746971736,0.8783783783783784,0.9154929577464789,0.9866071428571429,0.896551724137931,0.8856041099956942,0.9510500503018109
cnn,cnn,test,probability,0.75,0.9825033647375505,0.9027777777777778,0.9154929577464789,0.9895833333333334,0.9090909090909091,0.8994385366388293,0.9525381455399061
cnn,cnn,test,probability,0.7999999999999999,0.9838492597577388,0.9154929577464789,0.9154929577464789,0.9910714285714286,0.9154929577464789,0.9065643863179075,0.9532821931589537
cnn,cnn,test,probability,0.85,0.9838492597577388,0.927536231884058,0.9014084507042254,0.9925595238095238,0.9142857142857144,0.9054850372289823,0.9469839872568746
cnn,cnn,test,probability,0.9,0.9811574697173621,0.9523809523809523,0.8450704225352113,0.9955357142857143,0.8955223880597014,0.8871184998151106,0.9203030684104627
cnn,cnn,test,probability,0.95,0.9650067294751009,0.9411764705882353,0.676056338028169,0.9955357142857143,0.7868852459016393,0.7808744689840799,0.8357960261569417
cnn_focus_hybrid,cnn_focus_hybrid,test,probability,0.05,0.7537012113055181,0.2777777777777778,0.9859154929577465,0.7291666666666666,0.43343653250774,0.4440467926752379,0.8575410798122065
cnn_focus_hybrid,cnn_focus_hybrid,test,probability,0.1,0.8600269179004038,0.4046242774566474,0.9859154929577465,0.8467261904761905,0.5737704918032787,0.5791772307821896,0.9163208417169685
cnn_focus_hybrid,cnn_focus_hybrid,test,probability,0.15,0.8963660834454913,0.4794520547945205,0.9859154929577465,0.8869047619047619,0.6451612903225806,0.6457657889536655,0.9364101274312542
cnn_focus_hybrid,cnn_focus_hybrid,test,probability,0.2,0.917900403768506,0.5384615384615384,0.9859154929577465,0.9107142857142857,0.6965174129353234,0.6937852396346922,0.948314889336016
cnn_focus_hybrid,cnn_focus_hybrid,test,probability,0.25,0.9340511440107672,0.5948275862068966,0.971830985915493,0.9300595238095238,0.7379679144385026,0.7304741687366221,0.9509452548625084
cnn_focus_hybrid,cnn_focus_hybrid,test,probability,0.3,0.9421265141318977,0.6296296296296297,0.9577464788732394,0.9404761904761905,0.7597765363128491,0.7492022657208139,0.9491113346747149
cnn_focus_hybrid,cnn_focus_hybrid,test,probability,0.35,0.9596231493943472,0.7204301075268817,0.9436619718309859,0.9613095238095238,0.8170731707317074,0.803989836101967,0.9524857478202549
cnn_focus_hybrid,cnn_focus_hybrid,test,probability,0.39999999999999997,0.9623149394347241,0.7362637362637363,0.9436619718309859,0.9642857142857143,0.8271604938271604,0.8141982095958734,0.9539738430583501
cnn_focus_hybrid,cnn_focus_hybrid,test,probability,0.44999999999999996,0.9650067294751009,0.7528089887640449,0.9436619718309859,0.9672619047619048,0.8374999999999999,0.8247304302146735,0.9554619382964453
cnn_focus_hybrid,cnn_focus_hybrid,test,probability,0.49999999999999994,0.9650067294751009,0.7777777777777778,0.8873239436619719,0.9732142857142857,0.8289473684210527,0.811731641744908,0.9302691146881288
cnn_focus_hybrid,cnn_focus_hybrid,test,probability,0.5499999999999999,0.9650067294751009,0.8082191780821918,0.8309859154929577,0.9791666666666666,0.8194444444444445,0.8001691437270313,0.9050762910798122
cnn_focus_hybrid,cnn_focus_hybrid,test,probability,0.6,0.9596231493943472,0.7971014492753623,0.7746478873239436,0.9791666666666666,0.7857142857142857,0.7635260086975729,0.8769072769953051
cnn_focus_hybrid,cnn_focus_hybrid,test,probability,0.65,0.9542395693135935,0.8135593220338984,0.676056338028169,0.9836309523809523,0.7384615384615385,0.7172951117720419,0.8298436452045607
cnn_focus_hybrid,cnn_focus_hybrid,test,probability,0.7,0.9502018842530283,0.8269230769230769,0.6056338028169014,0.9866071428571429,0.6991869918699187,0.6824511111756023,0.7961204728370221
cnn_focus_hybrid,cnn_focus_hybrid,test,probability,0.75,0.9488559892328399,0.8367346938775511,0.5774647887323944,0.9880952380952381,0.6833333333333335,0.6699073489226611,0.7827800134138163
cnn_focus_hybrid,cnn_focus_hybrid,test,probability,0.7999999999999999,0.946164199192463,0.8297872340425532,0.5492957746478874,0.9880952380952381,0.6610169491525424,0.6490089131080139,0.7686955063715628
cnn_focus_hybrid,cnn_focus_hybrid,test,probability,0.85,0.9434724091520862,0.8717948717948718,0.4788732394366197,0.9925595238095238,0.6181818181818182,0.6214625164651478,0.7357163816230717
cnn_focus_hybrid,cnn_focus_hybrid,test,probability,0.9,0.9407806191117093,0.8857142857142857,0.43661971830985913,0.9940476190476191,0.5849056603773585,0.5975924406330404,0.715333668678739
cnn_focus_hybrid,cnn_focus_hybrid,test,probability,0.95,0.9313593539703903,0.9545454545454546,0.29577464788732394,0.9985119047619048,0.45161290322580644,0.5103936419675766,0.6471432763246143
transfer,transfer:MobileNet,test,probability,0.05,0.7671601615074024,0.2892561983471074,0.9859154929577465,0.7440476190476191,0.4472843450479233,0.4579184889395539,0.8649815560026828
transfer,transfer:MobileNet,test,probability,0.1,0.8277254374158816,0.3553299492385787,0.9859154929577465,0.8110119047619048,0.5223880597014925,0.530766048075853,0.8984636988598256
transfer,transfer:MobileNet,test,probability,0.15,0.8600269179004038,0.40350877192982454,0.971830985915493,0.8482142857142857,0.5702479338842975,0.5727374348884894,0.9100226358148893
transfer,transfer:MobileNet,test,probability,0.2,0.8815612382234186,0.44516129032258067,0.971830985915493,0.8720238095238095,0.6106194690265486,0.6105581341497311,0.9219273977196513
transfer,transfer:MobileNet,test,probability,0.25,0.8936742934051144,0.4726027397260274,0.971830985915493,0.8854166666666666,0.6359447004608296,0.63424422567462,0.9286238262910798
transfer,transfer:MobileNet,test,probability,0.3,0.9057873485868102,0.5037593984962406,0.9436619718309859,0.9017857142857143,0.6568627450980392,0.6483504442544658,0.9227238430583501
transfer,transfer:MobileNet,test,probability,0.35,0.9192462987886945,0.5447154471544715,0.9436619718309859,0.9166666666666666,0.6907216494845361,0.6805026022535846,0.9301643192488263
transfer,transfer:MobileNet,test,probability,0.39999999999999997,0.9246298788694481,0.5641025641025641,0.9295774647887324,0.9241071428571429,0.7021276595744681,0.6890189467309361,0.9268423038229376
transfer,transfer:MobileNet,test,probability,0.44999999999999996,0.9286675639300135,0.5818181818181818,0.9014084507042254,0.9315476190476191,0.7071823204419889,0.6895054615263175,0.9164780348759223
transfer,transfer:MobileNet,test,probability,0.49999999999999994,0.9340511440107672,0.6057692307692307,0.8873239436619719,0.9389880952380952,0.72,0.7001495151252212,0.9131560194500336
transfer,transfer:MobileNet,test,probability,0.5499999999999999,0.9353970390309556,0.6161616161616161,0.8591549295774648,0.9434523809523809,0.7176470588235293,0.6943147493481605,0.9013036552649228
transfer,transfer:MobileNet,test,probability,0.6,0.9394347240915208,0.6382978723404256,0.8450704225352113,0.9494047619047619,0.7272727272727273,0.7025995579012978,0.8972375922199866
transfer,transfer:MobileNet,test,probability,0.65,0.9394347240915208,0.6477272727272727,0.8028169014084507,0.9538690476190477,0.7169811320754716,0.688442216851018,0.8783429745137492
transfer,transfer:MobileNet,test,probability,0.7,0.9475100942126514,0.6951219512195121,0.8028169014084507,0.9627976190476191,0.7450980392156863,0.7183172840972252,0.8828072602280349
transfer,transfer:MobileNet,test,probability,0.75,0.9542395693135935,0.7466666666666667,0.7887323943661971,0.9717261904761905,0.767123287671233,0.7421138126022295,0.8802292924211939
transfer,transfer:MobileNet,test,probability,0.7999999999999999,0.9488559892328399,0.7538461538461538,0.6901408450704225,0.9761904761904762,0.7205882352941175,0.6933180607869331,0.8331656606304494
transfer,transfer:MobileNet,test,probability,0.85,0.9528936742934051,0.8461538461538461,0.6197183098591549,0.9880952380952381,0.7154471544715447,0.7003957328836206,0.8039067739771966
transfer,transfer:MobileNet,test,probability,0.9,0.9475100942126514,0.8636363636363636,0.5352112676056338,0.9910714285714286,0.6608695652173914,0.655492875456247,0.7631413480885312
transfer,transfer:MobileNet,test,probability,0.95,0.9407806191117093,0.9655172413793104,0.39436619718309857,0.9985119047619048,0.5599999999999999,0.5963806294312206,0.6964390509725017
hybrid_vit,hybrid_vit,test,probability,0.05,0.8613728129205922,0.4036144578313253,0.9436619718309859,0.8526785714285714,0.5654008438818565,0.5620444806756765,0.8981702716297786
hybrid_vit,hybrid_vit,test,probability,0.1,0.8950201884253028,0.4744525547445255,0.9154929577464789,0.8928571428571429,0.625,0.6127971148894,0.9041750503018109
hybrid_vit,hybrid_vit,test,probability,0.15,0.9044414535666218,0.5,0.8873239436619719,0.90625,0.6395939086294415,0.6216892474327156,0.896786971830986
hybrid_vit,hybrid_vit,test,probability,0.2,0.9192462987886945,0.5478260869565217,0.8873239436619719,0.9226190476190477,0.6774193548387096,0.65832374593317,0.9049714956405097
hybrid_vit,hybrid_vit,test,probability,0.25,0.9219380888290714,0.5585585585585585,0.8732394366197183,0.9270833333333334,0.6813186813186813,0.6600228263444523,0.9001613849765258
hybrid_vit,hybrid_vit,test,probability,0.3,0.9232839838492598,0.5636363636363636,0.8732394366197183,0.9285714285714286,0.6850828729281767,0.6637240434842434,0.9009054325955734
hybrid_vit,hybrid_vit,test,probability,0.35,0.9300134589502019,0.5922330097087378,0.8591549295774648,0.9375,0.7011494252873564,0.6777592591535114,0.8983274647887324
hybrid_vit,hybrid_vit,test,probability,0.39999999999999997,0.9313593539703903,0.6,0.8450704225352113,0.9404761904761905,0.7017543859649124,0.6766752387828024,0.8927733065057009
hybrid_vit,hybrid_vit,test,probability,0.44999999999999996,0.9353970390309556,0.6210526315789474,0.8309859154929577,0.9464285714285714,0.710843373493976,0.6844112421326756,0.8887072434607646
hybrid_vit,hybrid_vit,test,probability,0.49999999999999994,0.9380888290713324,0.6436781609195402,0.7887323943661971,0.9538690476190477,0.7088607594936709,0.6789816746969008,0.8713007209926225
hybrid_vit,hybrid_vit,test,probability,0.5499999999999999,0.9421265141318977,0.6666666666666666,0.7887323943661971,0.9583333333333334,0.7225806451612903,0.6935699586104129,0.8735328638497653
hybrid_vit,hybrid_vit,test,probability,0.6,0.9475100942126514,0.7,0.7887323943661971,0.9642857142857143,0.7417218543046357,0.7141960986054938,0.8765090543259557
hybrid_vit,hybrid_vit,test,probability,0.65,0.946164199192463,0.7012987012987013,0.7605633802816901,0.9657738095238095,0.7297297297297298,0.7005991645991497,0.8631685949027499
hybrid_vit,hybrid_vit,test,probability,0.7,0.946164199192463,0.7123287671232876,0.7323943661971831,0.96875,0.7222222222222221,0.6925042263439846,0.8505721830985915
hybrid_vit,hybrid_vit,test,probability,0.75,0.946164199192463,0.7246376811594203,0.704225352112676,0.9717261904761905,0.7142857142857142,0.6846598817356788,0.8379757712944332
hybrid_vit,hybrid_vit,test,probability,0.7999999999999999,0.9515477792732167,0.7777777777777778,0.6901408450704225,0.9791666666666666,0.7313432835820896,0.7063415905726118,0.8346537558685445
hybrid_vit,hybrid_vit,test,probability,0.85,0.9515477792732167,0.7868852459016393,0.676056338028169,0.9806547619047619,0.7272727272727273,0.7032845276455312,0.8283555499664654
hybrid_vit,hybrid_vit,test,probability,0.9,0.955585464333782,0.88,0.6197183098591549,0.9910714285714286,0.7272727272727273,0.7167272612527842,0.8053948692152917
hybrid_vit,hybrid_vit,test,probability,0.95,0.9502018842530283,0.8695652173913043,0.5633802816901409,0.9910714285714286,0.6837606837606838,0.6763667247365479,0.7772258551307847
focus_dnn,focus_dnn,test,probability,0.05,0.12382234185733512,0.09833795013850416,1.0,0.03125,0.17906683480453972,0.055435195876160255,0.515625
focus_dnn,focus_dnn,test,probability,0.1,0.31763122476446837,0.12283737024221453,1.0,0.24553571428571427,0.21879815100154082,0.17366911482299002,0.6227678571428571
focus_dnn,focus_dnn,test,probability,0.15,0.38896366083445494,0.13523809523809524,1.0,0.3244047619047619,0.238255033557047,0.2094561579094007,0.6622023809523809
focus_dnn,focus_dnn,test,probability,0.2,0.4266487213997308,0.14285714285714285,1.0,0.36607142857142855,0.25,0.2286830084797446,0.6830357142857143
focus_dnn,focus_dnn,test,probability,0.25,0.44549125168236875,0.14553014553014554,0.9859154929577465,0.38839285714285715,0.2536231884057971,0.23031389632082136,0.6871541750503019
focus_dnn,focus_dnn,test,probability,0.3,0.45625841184387617,0.14799154334038056,0.9859154929577465,0.40029761904761907,0.2573529411764707,0.2360632448531793,0.6931065560026828
focus_dnn,focus_dnn,test,probability,0.35,0.458950201884253,0.14712153518123666,0.971830985915493,0.40476190476190477,0.25555555555555554,0.22946910684921193,0.6882964453386988
focus_dnn,focus_dnn,test,probability,0.39999999999999997,0.5275908479138627,0.16346153846153846,0.9577464788732394,0.48214285714285715,0.27926078028747436,0.26051738067970964,0.7199446680080482
focus_dnn,focus_dnn,test,probability,0.44999999999999996,0.8411843876177658,0.3178294573643411,0.5774647887323944,0.8690476190476191,0.41000000000000003,0.34655191402702107,0.7232562038900068
focus_dnn,focus_dnn,test,probability,0.49999999999999994,0.8438761776581427,0.3228346456692913,0.5774647887323944,0.8720238095238095,0.41414141414141414,0.35102679935287645,0.7247442991281019
focus_dnn,focus_dnn,test,probability,0.5499999999999999,0.8519515477792732,0.33884297520661155,0.5774647887323944,0.8809523809523809,0.4270833333333333,0.36499491062629413,0.7292085848423877
focus_dnn,focus_dnn,test,probability,0.6,0.8842530282637954,0.422680412371134,0.5774647887323944,0.9166666666666666,0.48809523809523814,0.4311756093787554,0.7470657276995305
focus_dnn,focus_dnn,test,probability,0.65,0.8842530282637954,0.42105263157894735,0.5633802816901409,0.9181547619047619,0.4819277108433735,0.42392829418737793,0.7407675217974514
focus_dnn,focus_dnn,test,probability,0.7,0.8936742934051144,0.45348837209302323,0.5492957746478874,0.9300595238095238,0.49681528662420377,0.4404934273132829,0.7396776492287056
focus_dnn,focus_dnn,test,probability,0.75,0.9004037685060565,0.48,0.5070422535211268,0.9419642857142857,0.4931506849315068,0.4381750188070877,0.7245032696177063
focus_dnn,focus_dnn,test,probability,0.7999999999999999,0.9205921938088829,0.625,0.4225352112676056,0.9732142857142857,0.5042016806722689,0.4732832792423939,0.6978747484909457
focus_dnn,focus_dnn,test,probability,0.85,0.9111709286675639,1.0,0.07042253521126761,1.0,0.13157894736842107,0.2532283256427308,0.5352112676056338
focus_dnn,focus_dnn,test,probability,0.9,0.9084791386271871,1.0,0.04225352112676056,1.0,0.08108108108108109,0.195884570937398,0.5211267605633803
focus_dnn,focus_dnn,test,probability,0.95,0.9044414535666218,,0.0,1.0,,0.0,0.5
threshold_baselines,threshold_baselines:composite,test,raw_score,-0.7150096893310547,0.0955585464333782,0.0955585464333782,1.0,0.0,0.17444717444717447,0.0,0.5
threshold_baselines,threshold_baselines:composite,test,raw_score,-0.47351249059041345,0.506056527590848,0.112565445026178,0.6056338028169014,0.4955357142857143,0.18984547461368653,0.05950839067699568,0.5505847585513078
threshold_baselines,threshold_baselines:composite,test,raw_score,-0.23201529184977215,0.5531628532974427,0.1239193083573487,0.6056338028169014,0.5476190476190477,0.20574162679425836,0.09030463497506774,0.5766264252179745
threshold_baselines,threshold_baselines:composite,test,raw_score,0.00948190689086914,0.6460296096904441,0.15217391304347827,0.5915492957746479,0.6517857142857143,0.24207492795389052,0.14804898270030792,0.6216675050301811
threshold_baselines,threshold_baselines:composite,test,raw_score,0.2509791056315104,0.756393001345895,0.21649484536082475,0.5915492957746479,0.7738095238095238,0.31698113207547174,0.24453800745264206,0.6826794097920859
threshold_baselines,threshold_baselines:composite,test,raw_score,0.4924763043721516,0.8317631224764468,0.3014705882352941,0.5774647887323944,0.8586309523809523,0.3961352657004831,0.33153688796134656,0.7180478705566733
threshold_baselines,threshold_baselines:composite,test,raw_score,0.733973503112793,0.8681022880215343,0.36893203883495146,0.5352112676056338,0.9032738095238095,0.43678160919540227,0.373043974237059,0.7192425385647216
