model_code_name,seed,status,action,train_allowed,job_marker
focus_dnn,33,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_focus_dnn_seed_33.json
focus_dnn,44,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_focus_dnn_seed_44.json
focus_dnn,55,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_focus_dnn_seed_55.json
vit,11,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_vit_seed_11.json
vit,22,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_vit_seed_22.json
vit,33,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_vit_seed_33.json
vit,44,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_vit_seed_44.json
vit,55,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_vit_seed_55.json
classical_ml,11,unsupported_optional_model,unsupported_by_multiseed_eval,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_classical_ml_seed_11.json
classical_ml,22,unsupported_optional_model,unsupported_by_multiseed_eval,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_classical_ml_seed_22.json
classical_ml,33,unsupported_optional_model,unsupported_by_multiseed_eval,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_classical_ml_seed_33.json
classical_ml,44,unsupported_optional_model,unsupported_by_multiseed_eval,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_classical_ml_seed_44.json
classical_ml,55,unsupported_optional_model,unsupported_by_multiseed_eval,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_classical_ml_seed_55.json
threshold_baselines,11,unsupported_optional_model,unsupported_by_multiseed_eval,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_threshold_baselines_seed_11.json
threshold_baselines,22,unsupported_optional_model,unsupported_by_multiseed_eval,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_threshold_baselines_seed_22.json
threshold_baselines,33,unsupported_optional_model,unsupported_by_multiseed_eval,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_threshold_baselines_seed_33.json
threshold_baselines,44,unsupported_optional_model,unsupported_by_multiseed_eval,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_threshold_baselines_seed_44.json
threshold_baselines,55,unsupported_optional_model,unsupported_by_multiseed_eval,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_threshold_baselines_seed_55.json
