seed,split,mode,threshold,coverage,risk,auc,f1,temperature
55,test,tau,0.5,1.0,0.096551724137931,0.9012977099236642,0.0,3.13025828600741
55,test,tau,0.5257894736842105,1.0,0.096551724137931,0.9012977099236642,0.0,3.13025828600741
55,test,tau,0.5515789473684211,0.9986206896551724,0.09530386740331487,0.8998672419515432,0.0,3.13025828600741
55,test,tau,0.5773684210526315,0.9986206896551724,0.09530386740331487,0.8998672419515432,0.0,3.13025828600741
55,test,tau,0.6031578947368421,0.9958620689655172,0.09279778393351801,0.896878204397858,0.0,3.13025828600741
55,test,tau,0.6289473684210526,0.9917241379310345,0.08901251738525728,0.8920443702290077,0.0,3.13025828600741
55,test,tau,0.6547368421052632,0.9917241379310345,0.08901251738525728,0.8920443702290077,0.0,3.13025828600741
55,test,tau,0.6805263157894736,0.9903448275862069,0.08774373259052926,0.8903307888040711,0.0,3.13025828600741
55,test,tau,0.7063157894736842,0.9875862068965517,0.08519553072625696,0.8867350769615817,0.0,3.13025828600741
55,test,tau,0.7321052631578947,0.9806896551724138,0.07876230661040784,0.8766221374045802,0.0,3.13025828600741
55,test,tau,0.7578947368421052,0.9710344827586207,0.07670454545454541,0.8789886039886039,0.0,3.13025828600741
55,test,tau,0.7836842105263158,0.96,0.07471264367816088,0.8826295986622074,0.0,3.13025828600741
55,test,tau,0.8094736842105263,0.9393103448275862,0.07195301027900147,0.892840997158357,0.0,3.13025828600741
55,test,tau,0.8352631578947368,0.9131034482758621,0.06495468277945615,0.8974151857835218,0.0,3.13025828600741
55,test,tau,0.8610526315789473,0.8910344827586207,0.05882352941176472,0.9015971260387812,0.0,3.13025828600741
55,test,tau,0.8868421052631579,0.8455172413793104,0.034257748776509,0.8504263191763192,0.0,3.13025828600741
55,test,tau,0.9126315789473685,0.7655172413793103,0.014414414414414378,0.7194926873857405,0.0,3.13025828600741
55,test,tau,0.9384210526315789,0.6620689655172414,0.004166666666666652,0.06537656903765693,0.0,3.13025828600741
55,test,tau,0.9642105263157894,0.503448275862069,0.005479452054794498,0.08608815426997246,0.0,3.13025828600741
55,test,tau,0.99,0.0,,,,3.13025828600741
55,test,delta,0.0,1.0,0.096551724137931,0.9012977099236642,0.0,3.13025828600741
55,test,delta,0.025789473684210525,1.0,0.096551724137931,0.9012977099236642,0.0,3.13025828600741
55,test,delta,0.05157894736842105,0.9986206896551724,0.09530386740331487,0.8998672419515432,0.0,3.13025828600741
55,test,delta,0.07736842105263157,0.9986206896551724,0.09530386740331487,0.8998672419515432,0.0,3.13025828600741
55,test,delta,0.1031578947368421,0.9958620689655172,0.09279778393351801,0.896878204397858,0.0,3.13025828600741
55,test,delta,0.12894736842105262,0.9917241379310345,0.08901251738525728,0.8920443702290077,0.0,3.13025828600741
55,test,delta,0.15473684210526314,0.9917241379310345,0.08901251738525728,0.8920443702290077,0.0,3.13025828600741
55,test,delta,0.18052631578947367,0.9903448275862069,0.08774373259052926,0.8903307888040711,0.0,3.13025828600741
55,test,delta,0.2063157894736842,0.9875862068965517,0.08519553072625696,0.8867350769615817,0.0,3.13025828600741
55,test,delta,0.23210526315789473,0.9806896551724138,0.07876230661040784,0.8766221374045802,0.0,3.13025828600741
55,test,delta,0.25789473684210523,0.9710344827586207,0.07670454545454541,0.8789886039886039,0.0,3.13025828600741
55,test,delta,0.28368421052631576,0.96,0.07471264367816088,0.8826295986622074,0.0,3.13025828600741
55,test,delta,0.3094736842105263,0.9393103448275862,0.07195301027900147,0.892840997158357,0.0,3.13025828600741
55,test,delta,0.3352631578947368,0.9131034482758621,0.06495468277945615,0.8974151857835218,0.0,3.13025828600741
55,test,delta,0.36105263157894735,0.8910344827586207,0.05882352941176472,0.9015971260387812,0.0,3.13025828600741
55,test,delta,0.3868421052631579,0.8455172413793104,0.034257748776509,0.8504263191763192,0.0,3.13025828600741
55,test,delta,0.4126315789473684,0.7655172413793103,0.014414414414414378,0.7194926873857405,0.0,3.13025828600741
55,test,delta,0.43842105263157893,0.6620689655172414,0.004166666666666652,0.06537656903765693,0.0,3.13025828600741
55,test,delta,0.46421052631578946,0.503448275862069,0.005479452054794498,0.08608815426997246,0.0,3.13025828600741
55,test,delta,0.49,0.0,,,,3.13025828600741
55,test,tau_summary,0.9,0.8124137931034483,0.025466893039049254,0.8252613240418121,0.0,3.13025828600741
55,test,delta_summary,0.1,0.9958620689655172,0.09279778393351801,0.896878204397858,0.0,3.13025828600741
