seed,dataset,split,auc,f1,acc,precision,recall,fp,fn,ece,brier,params_count,latency_ms
55,all,test,0.9029007633587789,0.19047619047619044,0.9062068965517242,0.5714285714285714,0.11428571428571428,6.0,62.0,0.08633608753034623,0.0861950786548254,3729489,100.38188027585295
55,TBSI,test,1.0,0.5714285714285715,0.925,1.0,0.4,0.0,3.0,0.07152583508724925,0.054840929600600684,3729489,100.38188027585295
55,bma,test,0.9527272727272728,0.4000000000000001,0.9,0.4,0.4,3.0,3.0,0.07989737480383817,0.0701531999544586,3729489,100.38188027585295
55,pbs_imgs,test,0.8668261562998405,0.3529411764705882,0.912,0.5,0.2727272727272727,3.0,8.0,0.07050284313694351,0.06990317909728434,3729489,100.38188027585295
55,tbf_imgs,test,0.955480733258511,0.0,0.9166666666666666,0.0,0.0,0.0,27.0,0.08329540666148541,0.08325780440286103,3729489,100.38188027585295
55,wbc,test,0.9997048406139316,0.08695652173913045,0.8806818181818182,1.0,0.045454545454545456,0.0,21.0,0.1195089616549791,0.115768050169144,3729489,100.38188027585295
