model_code_name,model_display_name,auc_mean,auc_std,f1_mean,f1_std,acc_mean,acc_std,n_seeds
cnn,CNN,0.9029007633587788,,0.1904761904761904,,0.9062068965517242,,1
cnn_attention,Attention-CNN,0.9012213740458016,,0.0,,0.903448275862069,,1
cnn_focus_hybrid,CNN--focus hybrid,0.8562922573609597,,0.4785276073619631,,0.8827586206896552,,1
focus_dnn,Focus-DNN,0.8764885496183206,,0.368663594470046,,0.8110344827586207,,1
hybrid_vit,Hybrid ViT,0.9513413304253,,0.6883116883116883,,0.9337931034482758,,1
transfer,Transfer learning,0.9603271537622684,,0.6536585365853658,,0.9020689655172414,,1
vit,ViT,0.7971428571428572,,0.3762376237623762,,0.8262068965517242,,1
