model_code_name,model_display_name,selection_rule,selected_threshold,threshold,validation_accuracy,validation_balanced_accuracy,validation_MCC,validation_F1,validation_Youden_J,validation_recall,validation_specificity,test_accuracy,test_precision,test_recall,test_specificity,test_balanced_accuracy,test_MCC,test_AUC,test_F1,test_TP,test_TN,test_FP,test_FN
cnn,CNN,fixed_0p50,0.5,0.5,0.9881889763779528,0.9623792270531402,0.9305739819087148,0.9370629370629372,0.9247584541062804,0.9305555555555556,0.9942028985507246,0.981157469717362,0.8701298701298701,0.943661971830986,0.9851190476190476,0.9643905097250168,0.8958693227541976,0.9935446009389672,0.9054054054054054,67,662,10,4
cnn,CNN,Youden_J,0.09,0.09,0.9829396325459318,0.9781400966183575,0.9075276982507026,0.915032679738562,0.9562801932367152,0.9722222222222222,0.9840579710144928,0.9596231493943472,0.711340206185567,0.971830985915493,0.9583333333333334,0.9650821596244132,0.8116547991274671,0.9935446009389672,0.8214285714285714,69,644,28,2
cnn,CNN,max_F1,0.52,0.52,0.989501312335958,0.9631038647342997,0.9379876652231732,0.943661971830986,0.9262077294685992,0.9305555555555556,0.9956521739130436,0.981157469717362,0.8701298701298701,0.943661971830986,0.9851190476190476,0.9643905097250168,0.8958693227541976,0.9935446009389672,0.9054054054054054,67,662,10,4
cnn,CNN,max_balanced_accuracy,0.09,0.09,0.9829396325459318,0.9781400966183575,0.9075276982507026,0.915032679738562,0.9562801932367152,0.9722222222222222,0.9840579710144928,0.9596231493943472,0.711340206185567,0.971830985915493,0.9583333333333334,0.9650821596244132,0.8116547991274671,0.9935446009389672,0.8214285714285714,69,644,28,2
cnn,CNN,max_MCC,0.52,0.52,0.989501312335958,0.9631038647342997,0.9379876652231732,0.943661971830986,0.9262077294685992,0.9305555555555556,0.9956521739130436,0.981157469717362,0.8701298701298701,0.943661971830986,0.9851190476190476,0.9643905097250168,0.8958693227541976,0.9935446009389672,0.9054054054054054,67,662,10,4
cnn_attention,Attention-CNN,fixed_0p50,0.5,0.5,0.9553805774278216,0.9691425120772948,0.7994585688645331,0.8068181818181818,0.9382850241545896,0.9861111111111112,0.9521739130434784,0.9582772543741588,0.7,0.9859154929577464,0.9553571428571428,0.9706363179074446,0.810818702607675,0.9958501006036216,0.8187134502923976,70,642,30,1
cnn_attention,Attention-CNN,Youden_J,0.56,0.56,0.9619422572178478,0.972765700483092,0.8226069763832717,0.8304093567251463,0.9455314009661836,0.9861111111111112,0.9594202898550724,0.9609690444145356,0.7142857142857143,0.9859154929577464,0.9583333333333334,0.97212441314554,0.8203654647058851,0.9958501006036216,0.8284023668639053,70,644,28,1
cnn_attention,Attention-CNN,max_F1,0.89,0.89,0.984251968503937,0.9353260869565218,0.9054383699708424,0.9130434782608696,0.8706521739130435,0.875,0.9956521739130436,0.9825033647375504,0.8918918918918919,0.9295774647887324,0.988095238095238,0.9588363514419852,0.9008919484224686,0.9958501006036216,0.9103448275862068,66,664,8,5
cnn_attention,Attention-CNN,max_balanced_accuracy,0.56,0.56,0.9619422572178478,0.972765700483092,0.8226069763832717,0.8304093567251463,0.9455314009661836,0.9861111111111112,0.9594202898550724,0.9609690444145356,0.7142857142857143,0.9859154929577464,0.9583333333333334,0.97212441314554,0.8203654647058851,0.9958501006036216,0.8284023668639053,70,644,28,1
cnn_attention,Attention-CNN,max_MCC,0.89,0.89,0.984251968503937,0.9353260869565218,0.9054383699708424,0.9130434782608696,0.8706521739130435,0.875,0.9956521739130436,0.9825033647375504,0.8918918918918919,0.9295774647887324,0.988095238095238,0.9588363514419852,0.9008919484224686,0.9958501006036216,0.9103448275862068,66,664,8,5
cnn_focus_hybrid,CNN--focus hybrid,fixed_0p50,0.5,0.5,0.9553805774278216,0.9193840579710144,0.7676467622854243,0.7875000000000001,0.8387681159420288,0.875,0.9637681159420288,0.9650067294751008,0.7777777777777778,0.8873239436619719,0.9732142857142856,0.9302691146881288,0.811731641744908,0.97761569416499,0.8289473684210527,63,654,18,8
cnn_focus_hybrid,CNN--focus hybrid,Youden_J,0.23,0.23,0.9356955380577427,0.9644927536231884,0.7434949661177755,0.7461139896373057,0.9289855072463769,1.0,0.9289855072463769,0.927321668909825,0.5691056910569106,0.9859154929577464,0.9211309523809524,0.9535232226693494,0.7174554452769534,0.97761569416499,0.7216494845360826,70,619,53,1
cnn_focus_hybrid,CNN--focus hybrid,max_F1,0.4,0.4,0.9566929133858268,0.944987922705314,0.7880327988639226,0.8023952095808383,0.8899758454106279,0.9305555555555556,0.9594202898550724,0.962314939434724,0.7362637362637363,0.943661971830986,0.9642857142857144,0.95397384305835,0.8141982095958734,0.97761569416499,0.8271604938271604,67,648,24,4
cnn_focus_hybrid,CNN--focus hybrid,max_balanced_accuracy,0.23,0.23,0.9356955380577427,0.9644927536231884,0.7434949661177755,0.7461139896373057,0.9289855072463769,1.0,0.9289855072463769,0.927321668909825,0.5691056910569106,0.9859154929577464,0.9211309523809524,0.9535232226693494,0.7174554452769534,0.97761569416499,0.7216494845360826,70,619,53,1
cnn_focus_hybrid,CNN--focus hybrid,max_MCC,0.4,0.4,0.9566929133858268,0.944987922705314,0.7880327988639226,0.8023952095808383,0.8899758454106279,0.9305555555555556,0.9594202898550724,0.962314939434724,0.7362637362637363,0.943661971830986,0.9642857142857144,0.95397384305835,0.8141982095958734,0.97761569416499,0.8271604938271604,67,648,24,4
